Order,Family,Species name,Taxonomic authority,Common name,taxon_id,assessment_id,European category,EU 27 regional category,Endemic to Europe,Endemic to EU 27,Link to assessment
Anura,Alytidae,Alytes almogavarii,"Arntzen and García-París, 1995",Catalonian Midwife Toad,178592041,228179002,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/178592041/228179002
Anura,Alytidae,Alytes cisternasii,"Boscá, 1879",Iberian Midwife Toad,55266,207980155,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/55266/207980155
Anura,Alytidae,Alytes dickhilleni,"Arntzen & García-París, 1995",Betic Midwife Toad,979,228179357,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/979/228179357
Anura,Alytidae,Alytes muletensis,"(Sanchiz & Adrover, 1979)",Mallorcan Midwife Toad,977,207979274,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/977/207979274
Anura,Alytidae,Alytes obstetricans,"(Laurenti, 1768)",Common Midwife Toad,178591974,228179645,LC,LC,Yes,No,https://www.iucnredlist.org/species/178591974/228179645
Anura,Ranidae,Aquarana catesbeianus,"(Shaw, 1802)",American Bullfrog,58565,202022987,NA,Not recorded,No,No,https://www.iucnredlist.org/species/58565/202022987
Anura,Bominatoridae,Bombina bombina,"(Linnaeus, 1761)",Fire-bellied Toad,2865,67862807,LC,LC,No,No,https://www.iucnredlist.org/species/2865/67862807
Anura,Bominatoridae,Bombina variegata,"(Linnaeus, 1758)",Yellow–bellied Toad,77970289,228179967,LC,LC,Yes,No,https://www.iucnredlist.org/species/77970289/228179967
Anura,Bufonidae,Bufo bufo,"(Linnaeus, 1758)",Common Toad,88316072,200188858,LC,LC,No,No,https://www.iucnredlist.org/species/88316072/200188858
Anura,Bufonidae,Bufo spinosus,"Daudin, 1803",Spiny Toad,88316046,200190036,LC,Not recorded,No,No,https://www.iucnredlist.org/species/88316046/200190036
Anura,Bufonidae,Bufotes balearicus,"(Boettger, 1880)",,153567,228180449,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/153567/228180449
Anura,Bufonidae,Bufotes boulengeri,"(Lataste, 1879)",African Green Toad,182525327,200191612,LC,Not recorded,No,No,https://www.iucnredlist.org/species/182525327/200191612
Anura,Bufonidae,Bufotes cypriensis,"Litvinchuk, Mazepa, Jablonski, Dufresnes, 2019",Cyprus Green Toad,172962880,228180876,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/172962880/228180876
Anura,Bufonidae,Bufotes viridis,"(Laurenti, 1768)",Green Toad,182530066,200192160,LC,LC,No,No,https://www.iucnredlist.org/species/182530066/200192160
Caudata,Salamandridae,Calotriton arnoldi,"Carranza & Amat, 2005",Montseny Brook Newt,136131,89696462,CR,CR,Yes,Yes,https://www.iucnredlist.org/species/136131/89696462
Caudata,Salamandridae,Calotriton asper,"(Dugès, 1852)",Pyrenean Brook Salamander,59448,229005750,LC,LC,Yes,No,https://www.iucnredlist.org/species/59448/229005750
Caudata,Salamandridae,Chioglossa lusitanica,"Bocage, 1864",Golden-striped Salamander,4657,228181133,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/4657/228181133
Anura,Alytidae,Discoglossus galganoi,"Capula, Nascetti, Lanza, Bullini & Crespo, 1985",Iberian Painted Frog,173115779,207984263,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/173115779/207984263
Anura,Alytidae,Discoglossus montalentii,"Lanza, Nascetti, Capula & Bullini, 1984",Discoglosse Corse,6714,207979535,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/6714/207979535
Anura,Alytidae,Discoglossus pictus,"Otth, 1837",Painted Frog,55270,200187939,LC,LC,No,No,https://www.iucnredlist.org/species/55270/200187939
Anura,Alytidae,Discoglossus sardus,"Tschudi, 1837",Tyrrhenian Painted Frog,55271,207980412,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/55271/207980412
Anura,Bufonidae,Epidalea calamita,"(Laurenti, 1768)",Natterjack Toad,54598,228181470,LC,LC,Yes,No,https://www.iucnredlist.org/species/54598/228181470
Caudata,Salamandridae,Euproctus montanus,"(Savi, 1838)",Corsican Mountain Newt,59449,228181894,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/59449/228181894
Caudata,Salamandridae,Euproctus platycephalus,"(Gravenhorst, 1829)",Sardinian Brook Salamander,8371,223758127,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/8371/223758127
Anura,Hylidae,Hyla arborea,"(Linnaeus, 1758)",European Tree Frog,82496838,228182338,LC,LC,Yes,No,https://www.iucnredlist.org/species/82496838/228182338
Anura,Hylidae,Hyla intermedia,"Boulenger, 1882",Italian Tree Frog,55517,229001009,LC,Not recorded,Yes,No,https://www.iucnredlist.org/species/55517/229001009
Anura,Hylidae,Hyla meridionalis,"Boettger, 1874",Stripeless Treefrog,173109790,200196698,LC,LC,No,No,https://www.iucnredlist.org/species/173109790/200196698
Anura,Hylidae,Hyla molleri,"Bedriaga, 1889",Iberian Tree Frog,82493101,228182906,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/82493101/228182906
Anura,Hylidae,Hyla orientalis,"Bedriaga, 1890",Shelkovnikov's Tree Frog,82494309,202052085,LC,LC,No,No,https://www.iucnredlist.org/species/82494309/202052085
Anura,Hylidae,Hyla sarda,"(De Betta, 1853)",Sardinian Tree Frog,55645,223764163,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/55645/223764163
Anura,Hylidae,Hyla savignyi,"Audouin, 1827",Lemon-Yellow Tree Frog,78928690,202052715,LC,LC,No,No,https://www.iucnredlist.org/species/78928690/202052715
Caudata,Salamandridae,Ichthyosaura alpestris,"(Laurenti, 1768)",Alpine Newt,59472,228183943,LC,LC,Yes,No,https://www.iucnredlist.org/species/59472/228183943
Caudata,Salamandridae,Lissotriton boscai,"(Lataste, 1879)",Bosca's Newt,79079411,228184459,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/79079411/228184459
Caudata,Salamandridae,Lissotriton graecus,"(Wolterstorff, 1906)",Greek Smooth Newt,79077482,228184805,LC,LC,Yes,No,https://www.iucnredlist.org/species/79077482/228184805
Caudata,Salamandridae,Lissotriton helveticus,"(Razoumowsky, 1789)",Palmate Newt,59475,228185144,LC,LC,Yes,No,https://www.iucnredlist.org/species/59475/228185144
Caudata,Salamandridae,Lissotriton italicus,"(Peracca, 1898)",Italian Newt,59476,229006043,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/59476/229006043
Caudata,Salamandridae,Lissotriton maltzani,"(Boettger, 1879)",Portuguese Smooth Newt,79079357,228185515,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/79079357/228185515
Caudata,Salamandridae,Lissotriton montandoni,"(Boulenger, 1880)",Carpathian Newt,59478,228185921,LC,LC,Yes,No,https://www.iucnredlist.org/species/59478/228185921
Caudata,Salamandridae,Lissotriton schmidtleri,"(Raxworthy, 1988)",Schmidtler's Smooth Newt,211757868,211757998,LC,Not recorded,No,No,https://www.iucnredlist.org/species/211757868/211757998
Caudata,Salamandridae,Lissotriton vulgaris,"(Linnaeus, 1758)",Smooth Newt,79078647,229006372,LC,Not recorded,Yes,No,https://www.iucnredlist.org/species/79078647/229006372
Caudata,Salamandridae,Lyciasalamandra helverseni,"(Pieper, 1963)",Karpathos Salamander,61918,228186236,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/61918/228186236
Caudata,Salamandridae,Lyciasalamandra luschani,"(Steindachner, 1891)",Luschan's Salamander,41241,67694324,EN,EN,No,No,https://www.iucnredlist.org/species/41241/67694324
