AOO.justification,AOO.range,AOOContinuingDecline.isInContinuingDecline,AOOContinuingDecline.justification,AOOContinuingDecline.qualifier,AOODetails.breedingRange,AOODetails.breedingRangeJustification,AOODetails.nonbreedingRange,AOODetails.nonbreedingRangeJustification,AOOExtremeFluctuation.isFluctuating,AOOExtremeFluctuation.justification,AreaRestricted.isRestricted,AreaRestricted.justification,AvgAnnualFecundity.fecundity,AvgReproductiveAge.age,AvgReproductiveAge.units,BirthSize.size,Congregatory.value,CropWildRelative.isRelative,CurrentTrendDataDerivation.value,DepthLower.limit,DepthUpper.limit,DepthZone.depthZone,EOO.justification,EOO.range,EOOContinuingDecline.isContinuingDecline,EOOContinuingDecline.justification,EOOContinuingDecline.qualifier,EOODetails.breedingRange,EOODetails.nonbreedingRange,EOOExtremeFluctuation.isFluctuating,EOOExtremeFluctuation.justification,EggLaying.layEggs,ElevationLower.limit,ElevationUpper.limit,ExtinctionProbabilityGenerations3.justification,ExtinctionProbabilityGenerations3.range,ExtinctionProbabilityGenerations5.justification,ExtinctionProbabilityGenerations5.range,ExtinctionProbabilityYears100.justification,ExtinctionProbabilityYears100.range,FemaleMaturityAge.age,FemaleMaturityAge.units,FemaleMaturitySize.size,FreeLivingLarvae.hasStage,GenerationLength.justification,GenerationLength.quality,GenerationLength.range,GestationTime.time,GestationTime.units,HabitatContinuingDecline.isDeclining,HabitatContinuingDecline.justification,HabitatContinuingDecline.qualifier,IdentificationDescription.text,InPlaceEducationControlled.note,InPlaceEducationControlled.value,InPlaceEducationInternationalLegislation.note,InPlaceEducationInternationalLegislation.value,InPlaceEducationSubjectToPrograms.note,InPlaceEducationSubjectToPrograms.value,InPlaceLandWaterProtectionAreaPlanned.note,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceLandWaterProtectionInPA.note,InPlaceLandWaterProtectionInPA.value,InPlaceLandWaterProtectionInvasiveControl.note,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionPercentProtected.note,InPlaceLandWaterProtectionPercentProtected.value,InPlaceLandWaterProtectionSitesIdentified.note,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceResearchMonitoringScheme.note,InPlaceResearchMonitoringScheme.value,InPlaceResearchRecoveryPlan.note,InPlaceResearchRecoveryPlan.value,InPlaceSpeciesManagementExSitu.note,InPlaceSpeciesManagementExSitu.value,InPlaceSpeciesManagementHarvestPlan.note,InPlaceSpeciesManagementHarvestPlan.value,InPlaceSpeciesManagementReintroduced.note,InPlaceSpeciesManagementReintroduced.value,LiveBirth.liveBirth,Livelihoods.noInfo,LocationContinuingDecline.inDecline,LocationContinuingDecline.justification,LocationContinuingDecline.qualifier,LocationExtremeFluctuation.isFluctuating,LocationExtremeFluctuation.justification,LocationsNumber.justification,LocationsNumber.range,Longevity.longevity,Longevity.units,MaleMaturityAge.age,MaleMaturityAge.units,MaleMaturitySize.size,MatureIndividualsSubpopulation.value,MaxSize.size,MaxSubpopulationSize.range,MovementPatterns.pattern,NaturalMortality.value,NoThreats.noThreats,NonConsumptiveUse.isNonConsumptiveUse,NonConsumptiveUseDescription.narrative,NotUtilized.isNotUtilized,Parthenogenesis.exhibitsParthenogenesis,PopulationContinuingDecline.isDeclining,PopulationContinuingDecline.justification,PopulationContinuingDecline.qualifier,PopulationDeclineGenerations1.justification,PopulationDeclineGenerations1.qualifier,PopulationDeclineGenerations1.range,PopulationDeclineGenerations2.justification,PopulationDeclineGenerations2.qualifier,PopulationDeclineGenerations2.range,PopulationDeclineGenerations3.justification,PopulationDeclineGenerations3.qualifier,PopulationDeclineGenerations3.range,PopulationExtremeFluctuation.isFluctuating,PopulationExtremeFluctuation.justification,PopulationIncreaseRate.narrative,PopulationReductionFuture.direction,PopulationReductionFuture.justification,PopulationReductionFuture.qualifier,PopulationReductionFuture.range,PopulationReductionFutureBasis.detail,PopulationReductionFutureBasis.value,PopulationReductionPast.direction,PopulationReductionPast.justification,PopulationReductionPast.qualifier,PopulationReductionPast.range,PopulationReductionPastBasis.detail,PopulationReductionPastBasis.value,PopulationReductionPastCeased.value,PopulationReductionPastReversible.value,PopulationReductionPastUnderstood.value,PopulationReductionPastandFuture.direction,PopulationReductionPastandFuture.justification,PopulationReductionPastandFuture.numYears,PopulationReductionPastandFuture.qualifier,PopulationReductionPastandFuture.range,PopulationReductionPastandFutureBasis.detail,PopulationReductionPastandFutureBasis.value,PopulationReductionPastandFutureCeased.value,PopulationReductionPastandFutureReversible.value,PopulationReductionPastandFutureUnderstood.value,PopulationSize.range,ReproductivePeriodicity.value,SevereFragmentation.isFragmented,SevereFragmentation.justification,SubpopulationContinuingDecline.isDeclining,SubpopulationContinuingDecline.justification,SubpopulationContinuingDecline.qualifier,SubpopulationExtremeFluctuation.isFluctuating,SubpopulationExtremeFluctuation.justification,SubpopulationNumber.justification,SubpopulationNumber.range,SubpopulationSingle.value,ThreatsUnknown.value,TrendInDomesticOfftake.value,TrendInWildOfftake.value,UTCaptiveHarvest.value,UTHarvestTrendComments.narrative,UTIntlCommercialValue.value,UTLocalLivelihood.localcommercial,UTLocalLivelihood.localcommercialDetail,UTLocalLivelihood.subsistence,UTLocalLivelihood.subsistenceRationale,UTNatlCommercialValue.value,UseTradeNoInformation.value,WaterBreeding.value,YearOfPopulationEstimate.value,assessment_id,internal_taxon_id,internal_taxon_name
,,No,,,,,,,No,,No,,4000,,,,,,Not Applicable,,,,,3320609,No,,,,,No,,Yes,0,1550,,,,,,,2nd-3rd ,Years,,Yes,,,,,,Unknown,,,,,,Appendix III of the Bern Convention and on Annex IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,TRUE,No,,,No,,,,06-Dec,Years,,,,,6.025,,,,FALSE,FALSE,,FALSE,,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Unknown,Unknown,Unknown,,Unknown,Unknown,,Unknown,,Unknown,FALSE,,,207983513,88416883,Pelophylax lessonae
,,,,,,,,,,,No,,,,,,,,Suspected,,,,,570902,,,,,,,,Yes,0,2050,,,,,,,,,,Yes,,,,,,,,,,,,Appendix II of the Berne Convention and Annex IV of the EU Natural Habitats Directive,Yes,,,,,"Doñana, Islas Atlánticas de Galicia, Sierra Nevada and Cabañeros National Parks (Spain)",Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,207984263,173115779,Discoglossus galganoi
,,No,,,,,,,No,,No,,,,,,,,Inferred,,,,,63252,No,,,,,No,,Yes,0,900,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,,Reserva Ornitologica de Mindelo (Portugal),Yes,,,,,,,,,,,,,,,,,No,FALSE,No,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,227223836,114139495,Pelodytes atlanticus
,,No,,,,,,,No,,No,,,,,,,,Suspected,,,,,925825,No,,,,,No,,Yes,0,2380,,,,,,,,,,Yes,,,,,,,,,,,,Annex III of the Bern Convention and Annex V of the EU Natural Habitats Directive,Yes,,,,,Including Doñana and Cabañeros National Parks (Spain) and Peneda-Gerês National Park (Portugal),Yes,,,,,,,,,,,,,,,,,No,FALSE,No,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,Unknown,,,No,,,Yes,,Yes,FALSE,Yes,,227226945,58692,Pelophylax perezi
,1132,Yes,,Estimated,,,,,No,,No,,70,,,,,,Inferred,,,,,55994,Unknown,,,,,No,,Yes,,,,,,,,,12,Years,,Yes,,,,,,Yes,,Observed,,,,"It is listed on Appendix II of the Bern Convention, and on Annexes II and IV of the EU Natural Habitats Directive.",Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,12,Years,,,25.7,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Yes,,Observed,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,FALSE,Not domesticated,Unknown,No,,Yes,,,No,,Yes,FALSE,Yes,,227229041,18377,Proteus anguinus
,,Unknown,,,,,,,Unknown,,No,,,,,,,,Observed,,,,,236178,Unknown,,,,,Unknown,,Yes,0,2425,,,,,,,,,,Yes,,good,02-Mar,,,Yes,,Observed,,,,Appendix II of the Berne Convention and Annex IV of the EU Natural Habitats Directive,Yes,,,,,"Peneda-Gerês Parque Nacional (Portugal), and Parque Naturales Fragas do Eume, Corrubedo, Monte Aloia, O Invernadeiro, Serra do Xurés, Enciña da Lastra, Gorbea and Izki (Spain)",Yes,,,,,,,,,,,,Yes,,,,Yes,No,FALSE,No,,Observed,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,Unknown,,,,,,,,,Reduction,,Observed,30,,"e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)|c) a decline in area of occupancy, extent of occurrence and/or quality of habitat|a) direct observation",No,No,Yes,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,227229860,58622,Rana iberica
,1450,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,68314,Unknown,,,,,No,,Yes,0,500,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,"Appendix II of the Berne Convention, and is listed on Annex II and IV of the EU Natural Habitats Directive",Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,No,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Yes,,Observed,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,227232074,19156,Rana latastei
,968,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,43777,Unknown,,,,,No,,Yes,0,2200,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,Unknown,,,,,,,,,FALSE,Yes,,227232549,173103952,Rana parvipalmata
,396,Unknown,,,,,,,No,,Unknown,,,,,,,,Observed,,,,,4915,Unknown,,,,,No,,Yes,440,2100,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Appendix III on Bern Convention,Yes,,,,,Ordesa and Monte Perdido National Park and Lizardoia Integral Reserve (Spain),Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,03-May,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Yes,,Observed,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,Observed,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,227233345,19183,Rana pyrenaica
,,No,,,,,,,No,,No,,,,,,,,Inferred,,,,,358567,No,,,,,No,,No,400,2800,,,,,,,,,,No,,,,,,Unknown,,,,,,Appendix II of the Bern Convention and Annex IV of the EU Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,FALSE,No,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Unknown,Unknown,,,Yes,,,No,,Yes,FALSE,No,,227233771,19843,Salamandra atra
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,,,,,,,,,Yes,0,650,,,,,,,,,,Yes,,,,,,Unknown,,,,,,Appendix II of the Bern Convention and Annex II of the EU Habitats Directive ,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,04-Jun,Years,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,Reduction,,Estimated,Oct-20,,"c) a decline in area of occupancy, extent of occurrence and/or quality of habitat",No,No,Yes,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,227237457,22216,Triturus dobrogicus
,960,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,197586,Unknown,,,,,No,,Yes,0,2140,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Listed in Appendix II of the Bern Convention nor on Annexes II and IV of the EU Natural Habitats Directive as Triturus carnifex,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Yes,,Inferred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,227237916,88104000,Triturus macedonicus
,1998-2500,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,298822,No,,,,,No,,Yes,0,1450,,,,,,,,,,Yes,,,3,,,,,,,,,Annex III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,Yes,No,FALSE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Yes,,Inferred,,,,,,,,,,No,,,,,,,,,Reduction,,Estimated,20,EOO,"c) a decline in area of occupancy, extent of occurrence and/or quality of habitat|e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)",No,No,Yes,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,227238403,59479,Triturus pygmaeus
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,50512,Unknown,,,,,No,,Yes,0,2300,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,,"""This species occurs in several regional and national parks in Arag\u00F3n including Ordesa and Monte Perdido National Parks, and in Catalonia including Aig\u00FCestortes and Estany de Sant Maurici National Parks.\n""",Yes,,Unknown,,,,Unknown,,,,,,Unknown,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,228179002,178592041,Alytes almogavarii
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,1056482,,,,,,,,Yes,0,2400,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Appendix II of the Berne Convention and Annex IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,228179645,178591974,Alytes obstetricans
,,,,,,,,,,,No,,,,,,,,Suspected,,,,,1211801,,,,,,,,Yes,100,2100,,,,,,,,,,Yes,,,,,,,,,,,,Appendix II of the Bern Convention and on Annexes II and IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Unknown,Unknown,,,Yes,,,No,,Yes,FALSE,Yes,,228179967,77970289,Bombina variegata
,,,,,,,,,,,,,,,,,,,Inferred,,,,,,,,,,,,,Yes,0,1330,,,,,,,,,,No,,,,,,Unknown,,,,,,Appendix II of the Bern Convention and Annex IV of the Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,Yes,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,No,,228180449,153567,Bufotes balearicus
,304,No,,,,,,,No,,No,,,,,,,,Suspected,,,,,14427,Unknown,,,,,No,,Yes,0,700,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,,,,,,,It may occur in a protected area at its type locality.,Unknown,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,Nov-15,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,228180876,172962880,Bufotes cypriensis
