internal_taxon_id,internal_taxon_name,language,name,primary
4657,Chioglossa lusitanica,Spanish; Castilian,Salamandra Rabilarga,FALSE
4657,Chioglossa lusitanica,English,Golden-striped Salamander,TRUE
18377,Proteus anguinus,English,Proteus,FALSE
18377,Proteus anguinus,Slovenian,Človeška ribica,FALSE
18377,Proteus anguinus,Croatian,Čovječja ribica,FALSE
18377,Proteus anguinus,Bosnian,Čovječja ribica,FALSE
18377,Proteus anguinus,Slovenian,Močeril,FALSE
18377,Proteus anguinus,Italian,Proteo,FALSE
18377,Proteus anguinus,English,Olm,TRUE
19156,Rana latastei,French,Grenouille agile d'Italie,FALSE
19156,Rana latastei,French,Grenouille de Lataste,FALSE
19156,Rana latastei,German,Italianischer Grasfrosch,FALSE
19156,Rana latastei,German,Italienischer Springfrosch,FALSE
19156,Rana latastei,Slovenian,Laška žaba,FALSE
19156,Rana latastei,Croatian,Lombardijska smeđa žaba,FALSE
19156,Rana latastei,Italian,Rana di Lataste,FALSE
19156,Rana latastei,English,Italian Agile Frog,TRUE
19183,Rana pyrenaica,French,Grenouille des Pyrénées,FALSE
19183,Rana pyrenaica,Spanish; Castilian,Rana Pirenaica,FALSE
19183,Rana pyrenaica,English,Pyrenean Frog,TRUE
19843,Salamandra atra,English,Alpine Salamander,FALSE
19843,Salamandra atra,English,Golden Salamander,FALSE
19843,Salamandra atra,Italian,Salamandra Alpina,FALSE
19843,Salamandra atra,Italian,Salamandra Alpina di Aurora,FALSE
22216,Triturus dobrogicus,German,Donau-kammolch,FALSE
22216,Triturus dobrogicus,Russian,Dunaiskii Triton,FALSE
22216,Triturus dobrogicus,Hungarian,Dunai tarajosgőte,FALSE
22216,Triturus dobrogicus,English,Danube Crested Newt,TRUE
54598,Epidalea calamita,Russian,Kamyshevaya Zhaba,FALSE
54598,Epidalea calamita,Polish,Ropucha Paskowka,FALSE
54598,Epidalea calamita,Spanish; Castilian,Sapo Corredor,FALSE
54598,Epidalea calamita,English,Natterjack Toad,TRUE
55517,Hyla intermedia,Italian,Raganella Italiana,FALSE
55517,Hyla intermedia,English,Italian Tree Frog,TRUE
58052,Pelobates cultripes,Spanish; Castilian,Sapo de Espuelas,FALSE
58052,Pelobates cultripes,English,Western Spadefoot,TRUE
58605,Rana graeca,"Greek, Modern (1453-)",Γραικοβάτραχος,FALSE
58605,Rana graeca,Macedonian,Поточна жаба,FALSE
58605,Rana graeca,English,Greek Stream Frog,TRUE
58622,Rana iberica,Portuguese,Rã-ibérica,FALSE
58622,Rana iberica,Spanish; Castilian,Rana Patilarga,FALSE
58622,Rana iberica,English,Iberian Frog,TRUE
58637,Pelophylax kurtmuelleri,Italian,Rana dei Balcani,FALSE
58637,Pelophylax kurtmuelleri,"Greek, Modern (1453-)",Βαλκανικός Βάτραχος,FALSE
58637,Pelophylax kurtmuelleri,English,Balkan Water Frog,TRUE
58692,Pelophylax perezi,Spanish; Castilian,Rana Común,FALSE
58692,Pelophylax perezi,English,Perez's Frog,TRUE
59448,Calotriton asper,English,Pyrenean Mountain Newt,FALSE
59448,Calotriton asper,English,Pyrenean Mountain Salamander,FALSE
59448,Calotriton asper,English,Pyrenean Newt,FALSE
59448,Calotriton asper,English,Pyreneen Salamander,FALSE
59448,Calotriton asper,English,Pyrenees Mountain Newt,FALSE
59448,Calotriton asper,English,Pyrenees Mountain Salamander,FALSE
59448,Calotriton asper,Spanish; Castilian,Tritón Pirenaico,FALSE
59448,Calotriton asper,English,Pyrenean Brook Salamander,TRUE
59472,Ichthyosaura alpestris,Hungarian,Alpesi gőte,FALSE
59472,Ichthyosaura alpestris,Russian,Alpiiskii Triton,FALSE
59472,Ichthyosaura alpestris,Polish,Traszka Gorska,FALSE
59472,Ichthyosaura alpestris,Spanish; Castilian,Tritón Alpino,FALSE
59472,Ichthyosaura alpestris,Italian,Tritone Alpino,FALSE
59472,Ichthyosaura alpestris,"Greek, Modern (1453-)",Αλπικός τρίτωνας,FALSE
59472,Ichthyosaura alpestris,Macedonian,Планински мрморец,FALSE
59472,Ichthyosaura alpestris,English,Alpine Newt,TRUE
59475,Lissotriton helveticus,French,Triton palmé,FALSE
59475,Lissotriton helveticus,Spanish; Castilian,Tritón Palmeado,FALSE
59475,Lissotriton helveticus,English,Palmate Newt,TRUE
59478,Lissotriton montandoni,Russian,Karpatskii Triton,FALSE
59478,Lissotriton montandoni,Polish,Traszka Karpacka,FALSE
59478,Lissotriton montandoni,English,Carpathian Newt,TRUE
59479,Triturus pygmaeus,Spanish; Castilian,Tritón Pigmeo,FALSE
59479,Triturus pygmaeus,English,Southern Marbled Newt,TRUE
77970289,Bombina variegata,Polish,Kumak Gorski,FALSE
77970289,Bombina variegata,Hungarian,Sárgahasú unka (Hungarian),FALSE
77970289,Bombina variegata,Turkish,Sarılı Kurbağa,FALSE
77970289,Bombina variegata,Italian,Ululone dal Ventre Giallo,FALSE
77970289,Bombina variegata,Russian,Zheltobryukhaya Zherlyanka,FALSE
77970289,Bombina variegata,Macedonian,Жолт мукач,FALSE
77970289,Bombina variegata,English,Yellow–bellied Toad,TRUE
79077482,Lissotriton graecus,English,Greek Smooth Newt,FALSE
79077482,Lissotriton graecus,"Greek, Modern (1453-)",Λισσοτρίτωνας,FALSE
79078647,Lissotriton vulgaris,Turkish,Küçük Semender,FALSE
79078647,Lissotriton vulgaris,Russian,Obyknovennyi Triton,FALSE
79078647,Lissotriton vulgaris,Hungarian,Pettyes gőte,FALSE
79078647,Lissotriton vulgaris,Hungarian,Pettyes gőte,FALSE
79078647,Lissotriton vulgaris,Polish,Traszka Zwyczajnan,FALSE
79078647,Lissotriton vulgaris,Italian,Tritone Punteggiato,FALSE
79078647,Lissotriton vulgaris,Macedonian,Обичен мрморец,FALSE
79078647,Lissotriton vulgaris,English,Smooth Newt,TRUE
79079411,Lissotriton boscai,Spanish; Castilian,Tritón Ibérico,FALSE
79079411,Lissotriton boscai,English,Bosca's Newt,TRUE
82493101,Hyla molleri,English,Moller's Tree Frog,FALSE
82493101,Hyla molleri,English,Iberian Tree Frog,TRUE
82496838,Hyla arborea,Italian,Raganella Comune,FALSE
82496838,Hyla arborea,French,Rainette verte,FALSE
