CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,assessment_id,internal_taxon_id,internal_taxon_name
AT,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
BE,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
BY,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
SK,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
DE,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
NO,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
EE,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
CH,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
HU,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
LT,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
IT,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
BA,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
PL,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
RO,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
HR,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
LU,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
MD,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
RU-EU,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
NL,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
ES,,,Introduced,Extant,Resident,207983513,88416883,Pelophylax lessonae
LV,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
SI,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
RS,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
UA,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
FR,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
CZ,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
GRB-OO,,,Reintroduced,Extant,Resident,207983513,88416883,Pelophylax lessonae
LI,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
DK,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
FI,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
SE,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
BG,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
GB,,,Reintroduced,Extant,Resident,207983513,88416883,Pelophylax lessonae
RU,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
COR-OO,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
SAR-OO,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
SIC-SI,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
RUE-OO,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
RUW-OO,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
RUS-OO,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
FRA-FR,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
ITA-IT,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
RUC-OO,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
UKR-UK,,,Native,Extant,Resident,207983513,88416883,Pelophylax lessonae
SPA-SP,,,Introduced,Extant,Resident,207983513,88416883,Pelophylax lessonae
ES,,,Native,Extant,Resident,207984263,173115779,Discoglossus galganoi
POR-OO,,,Native,Extant,Resident,207984263,173115779,Discoglossus galganoi
PT,,,Native,Extant,Resident,207984263,173115779,Discoglossus galganoi
SPA-SP,,,Native,Extant,Resident,207984263,173115779,Discoglossus galganoi
PT,,,Native,Extant,Resident,227223836,114139495,Pelodytes atlanticus
POR-OO,,,Native,Extant,Resident,227223836,114139495,Pelodytes atlanticus
FRA-FR,,,Native,Extant,Resident,227226945,58692,Pelophylax perezi
FR,,,Native,Extant,Resident,227226945,58692,Pelophylax perezi
