Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,internal_taxon_name,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,207983513,"Sindaco, R., Doria, G., Razzetti, E. and Bernini, F",,,,88416883,Pelophylax lessonae,,,,,773,Firenze,Societas Herpetologica Italica - Edizioni Polistampa,,,,,Published,Atlas of Italian Amphibians and Reptiles\\Atlante Degli Anfibi E Dei Rettili D'Italia,book,,,2006
Assessment,,,207983513,"Vogrin, N.",,,,88416883,Pelophylax lessonae,,,,,01-Feb,,,,FrogLog,,,Published,The status of amphibians in Slovenia,journal article,,20,1997
Assessment,,,207983513,"Gasc, J.-P., Cabela, A., Crnobrnja-Isailovic, J., Dolmen, D., Grossenbacher, K., Haffner, P., Lescure, J., Martens, H., Martinez Rica, J.P., Maurin, H., Oliveira, M.E., Sofianidou, T.S., Veith, M. and Zuiderwijk, A.",,,,88416883,Pelophylax lessonae,,Europe herpetology frog newt lizard snake salamander,,,494,Paris,Societas Europea Herpetologica & Museum National d’Histoire Naturelle,,,,,Published,Atlas of Amphibians and Reptiles in Europe,edited book,,,1997
Assessment,,,207983513,"Kuzmin, S.L.",,,,88416883,Pelophylax lessonae,,"amphibians,  conservation, USSR",,,24-30,,,,Oryx,,,Published,Threatened amphibians in the former Soviet Union: the current situation and the main threats,journal article,,30,1996
Assessment,,,207983513,"Garanin, V.I.",,,,88416883,Pelophylax lessonae,,"amphibians, systematics, distribution, ecology, conservation, Russia",,,79-132,,,,Advances in Amphibian Research in the Former Soviet Union,,,Published,The distribution of amphibians in the Volga-Kama region,journal article,,5,2000
Assessment,,,207983513,"Bannikov, A.G., Darevsky, I.S., Ishchenko, V.G., Rustamov, A.K. and Szczerbak, N.N.",,,,88416883,Pelophylax lessonae,,"amphibians,  ecology, systematics, distribution, reviews, USSR",,,,Moscow,Prosvechshenie,,,,,,Opredelitel Zemnovodnykh i Presmykayushchikhsya Fauny SSSR [Guide to Amphibians and Reptiles of the USSR Fauna],Book,,,1977
Assessment,,,207983513,"Kuzmin, S.L.",,,,88416883,Pelophylax lessonae,,"amphibians, systematics, distribution, ecology, conservation, USSR",,,,Magdeburg - Heidelberg,Westarp – Spektrum,,,,,,Die Amphibien Russlands und Angrenzender Gebiete,Book,,,1995
Assessment,,,207983513,"Mlynarski, M.",,,,88416883,Pelophylax lessonae,,,,,,Warszawa,Panstwowe Zaklady Wydawnictw Szkolnych,,,,,Published,Plazy I Gady Polski,book,,75,1966
Assessment,,,207983513,"Arnold, H.R.",,,,88416883,Pelophylax lessonae,,,,,40,,,,ITE Research Publication,,,Published,Atlas of amphibians and reptiles in Britain,journal article,,10,1995
Assessment,,,207983513,"Puky, M.",,,,88416883,Pelophylax lessonae,,,,,413-429,,"Center for Transportation and the Environment, North Carolina State University, USA","L.C. Irwin, P. Garrett and K.P. McDermott","Proceedings of the International Conference on Ecology and Transportation, 26-31 August, 2003, Lake Placid, New York, USA",,,Published,Amphibian mitigation measures in Central-Europe,conference proceedings,,,2003
Assessment,,,207983513,"Puky, M.",,,,88416883,Pelophylax lessonae,,,,,143-158,Sopron,Nyugat-Magyarországi Egyetem Erdõmérnöki Kar,S. Faragó,Gerinces állatfajok védelme (Conservation of vertebrate species),,,Published,A kétéltûek védelme Magyarországon (Conservation of amphibians in Hungary),book section,,,2000
Assessment,,,207983513,"Puky, M., Schád, P. and Szövényi, G",,,,88416883,Pelophylax lessonae,,,,,pp. 86,Budapest,Varangy Akciócsoport Egyesület,,,,,Published,Preliminary herpetological atlas of Hungary,book,,,2003
Assessment,,,207983513,"Dely, G.",,,,88416883,Pelophylax lessonae,,,,,,Budapest,Ákadémiai Kiadó,,,,,,"Kétéltűek-Amphibia: Magyarország Állatvilága, Faunae Hungariae",Book,,,1967
Assessment,,,207983513,"Puky, M.",,,,88416883,Pelophylax lessonae,,,,,341-347,,,,Folia Historico Naturalia Musei Matraensis,,,Published,"Az újraárasztott Nyirkai Hany - Keleti Mórrétek (Hanság) herpetofaunája (Occurrence of amphibians and reptiles in the Nyirkai Hany Keleti Mórrétek wetland restoration area, Hanság, Hungary in the first year following inundation)",journal article,,27,2003
Assessment,,,207983513,"Kovács, T.",,,,88416883,Pelophylax lessonae,,,,,2,,,,FrogLog,,,Published,Monitoring of amphibians and reptiles along the Drava River,journal article,,52,2002
Assessment,,,207983513,"Plötner, J.",,,,88416883,Pelophylax lessonae,,,,,,Bielefeld,Laurenti-Verlag,,,,,,Die Westpaläarkischen Wasserfrösche von Märtyrern der Wissenschaft zur Biologischen Sensation,Book,,,2005
Assessment,,,207983513,"Som, C., Anholt, B.R. and Reyer, H.-U.",,,,88416883,Pelophylax lessonae,,,,,34-46,,,,American Naturalist,,,Published,The effect of assortative mating on the coexistence of a hybridogenetic waterfrog and its sexual host,journal article,,156,2000
Assessment,,,207983513,"Vorburger, C. and Reyer, H.-U.",,,,88416883,Pelophylax lessonae,,,2,,141-155,,,,Conservation Genetics,,,Published,A genetic mechanism of species replacement in European waterfrogs?,journal article,,4,2003
Assessment,,,207983513,"Milinski, M.",,,,88416883,Pelophylax lessonae,,,2,,62,,,,Trends in Ecology and Evolution,,,Published,Hybridogenetic frogs on an evolutionary dead end road,journal article,,9,1994
Assessment,,,207983513,"Sjögren, P.",,,,88416883,Pelophylax lessonae,,,,,1357-1367,,,,Ecology,,,Published,"Distribution and extinction patterns within a northern metapopulation of the pool frog, <i>Rana lessonae</i>",journal article,,75,1994
Assessment,,,207983513,"Zeisset, I. and Beebee, T.J.C.",,,,88416883,Pelophylax lessonae,,,,,933-938,,,,Proceedings of the Royal Society of London Series B,,,Published,Determination of biogeographical range: an application of molecular phylogeograpphy to the European pool frog <i>Rana lessonae</i>,journal article,,268,2001
Assessment,,,207983513,"Wycherley, J., Doran, S. and Beebee, T.J.C.",,,,88416883,Pelophylax lessonae,,,,,479-484,,,,Journal of Zoology,,,Published,Frog calls echo microsatellite phylogeography in the European pool frog <i>Rana lessonae</i>,journal article,,258,2002
Assessment,,,207983513,"Botnariuc, N. and Tatole, V. (eds)",,,,88416883,Pelophylax lessonae,,,,,,,Museul National de Istorie Naturala “Grigore antipa”,,,,,Published,Cartea Rosie a vertebratelor din România,book,,,2005
