Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
4657,"Two distinct subspecies are recognized, <em>Chioglossa lusitanica lusitanica</em> and <em>C. l. longipes</em> (Arntzen <em>et al</em>. 2007).",AMPHIBIA,SALAMANDRIDAE,Chioglossa,,,,4657,Chioglossa lusitanica,ANIMALIA,CAUDATA,CHORDATA,lusitanica,"Bocage, 1864"
18377,"The currently accepted taxonomy recognizes two subspecies: the whitish, depigmented and blind <em>Proteus anguinus anguinus</em> (“White Proteus”), and the dark-colored, eyed <em>P. a. parkelj</em> (“Black Proteus”). The subspecies <em>P. a. parkelj </em>was considered to be of doubtful validity (Goricki and Trontelj 2006).<br/><br/>The White Proteus is distributed throughout the entire range of the species, the Black Proteus is only known from a few sites in the region of Bela Krajina in southeastern Slovenia.<br/><br/>Recent molecular studies revealed that the species is deeply subdivided into nine lineages supported by both mitochondrial DNA and microsatellites (Gorički and Trontelj 2006, Trontelj <em>et al</em>. 2009, Trontelj and Zakšek 2016, Vörös <em>et al</em>. 2019). The Black Proteus constitutes one of those lineages. Their ranges are mostly allopatric, although they are touching or even overlapping in some areas (Gorički <em>et al</em>. 2017).<br/><br/>The assessment of the exact taxonomic and conservation status of the <em>Proteus </em>lineages is the subject of ongoing research (Bizjak Mali and Sket 2019), but they should be treated as evolutionary significant units, to ensure the survival of diversity in this threatened species.",AMPHIBIA,PROTEIDAE,Proteus,,,,18377,Proteus anguinus,ANIMALIA,CAUDATA,CHORDATA,anguinus,"Laurenti, 1768"
19156,,AMPHIBIA,RANIDAE,Rana,,,,19156,Rana latastei,ANIMALIA,ANURA,CHORDATA,latastei,"Boulenger, 1879"
19183,,AMPHIBIA,RANIDAE,Rana,,,,19183,Rana pyrenaica,ANIMALIA,ANURA,CHORDATA,pyrenaica,"Serra-Cobo, 1993"
19843,"Four subspecies have been described: <em>Salamandra atra atra</em>; <em>S. a. aurorae</em>; <em>S. a. prenjensis</em>; and <em>S. a. pasobiensis</em>. The status of these subspecies remains questionable. <em>S. a. prenjensis</em> is often not considered to be valid. <em>S. a. aurorae</em> has been sometimes considered to be a separate species. Joger (1996), using serum proteins, showed significant differences, and he proposed the elevation of <em>S. a. aurorae</em> to a full species. Veith <em>et al.</em> (1998), analyzing mitDNA of <em>S. a. aurorae</em> did not find any significant difference. Riberon <em>et al.</em> (2001) indicate a complex pattern of divergence for the alpine populations, without reaching or stressing any taxonomic consequences.",AMPHIBIA,SALAMANDRIDAE,Salamandra,,,,19843,Salamandra atra,ANIMALIA,CAUDATA,CHORDATA,atra,"Laurenti, 1768"
22216,"The exact ranges of members of the <em>Triturus cristatus</em> superspecies are unclear in the central Balkans  because of narrow or extensive areas of hybridization. Two isolated subspecies have been described, occurring to the east and west of the Iron Gates of the Danube.",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,22216,Triturus dobrogicus,ANIMALIA,CAUDATA,CHORDATA,dobrogicus,"(Kiritzescu, 1903)"
54598,,AMPHIBIA,BUFONIDAE,Epidalea,,,,54598,Epidalea calamita,ANIMALIA,ANURA,CHORDATA,calamita,"(Laurenti, 1768)"
55517,"This is a broader concept of this species including formerly separated <em>Hyla perrini</em> (Dufresnes <em>et al</em>. 2018), now again recognized as subspecies of <em>H. intermedia </em>(Dufresnes <em>et al</em>. 2021).",AMPHIBIA,HYLIDAE,Hyla,,,,55517,Hyla intermedia,ANIMALIA,ANURA,CHORDATA,intermedia,"Boulenger, 1882"
58052,,AMPHIBIA,PELOBATIDAE,Pelobates,,,,58052,Pelobates cultripes,ANIMALIA,ANURA,CHORDATA,cultripes,"(Cuvier, 1829)"
58605,,AMPHIBIA,RANIDAE,Rana,,,,58605,Rana graeca,ANIMALIA,ANURA,CHORDATA,graeca,"Boulenger, 1891"
58622,,AMPHIBIA,RANIDAE,Rana,,,,58622,Rana iberica,ANIMALIA,ANURA,CHORDATA,iberica,"Boulenger, 1879"
