Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
4657,"Two distinct subspecies are recognized, Chioglossa lusitanica lusitanica and C. l. longipes (Arntzen et al. 2007).",AMPHIBIA,SALAMANDRIDAE,Chioglossa,,,,4657,Chioglossa lusitanica,ANIMALIA,CAUDATA,CHORDATA,lusitanica,"Bocage, 1864"
18377,"The currently accepted taxonomy recognizes two subspecies: the whitish, depigmented and blind Proteus anguinus anguinus (“White Proteus”), and the dark-colored, eyed P. a. parkelj (“Black Proteus”). The subspecies P. a. parkelj was considered to be of doubtful validity (Goricki and Trontelj 2006).  The White Proteus is distributed throughout the entire range of the species, the Black Proteus is only known from a few sites in the region of Bela Krajina in southeastern Slovenia.  Recent molecular studies revealed that the species is deeply subdivided into nine lineages supported by both mitochondrial DNA and microsatellites (Gorički and Trontelj 2006, Trontelj et al. 2009, Trontelj and Zakšek 2016, Vörös et al. 2019). The Black Proteus constitutes one of those lineages. Their ranges are mostly allopatric, although they are touching or even overlapping in some areas (Gorički et al. 2017).  The assessment of the exact taxonomic and conservation status of the Proteus lineages is the subject of ongoing research (Bizjak Mali and Sket 2019), but they should be treated as evolutionary significant units, to ensure the survival of diversity in this threatened species.",AMPHIBIA,PROTEIDAE,Proteus,,,,18377,Proteus anguinus,ANIMALIA,CAUDATA,CHORDATA,anguinus,"Laurenti, 1768"
19156,,AMPHIBIA,RANIDAE,Rana,,,,19156,Rana latastei,ANIMALIA,ANURA,CHORDATA,latastei,"Boulenger, 1879"
19183,,AMPHIBIA,RANIDAE,Rana,,,,19183,Rana pyrenaica,ANIMALIA,ANURA,CHORDATA,pyrenaica,"Serra-Cobo, 1993"
19843,"Four subspecies have been described: Salamandra atra atra; S. a. aurorae; S. a. prenjensis; and S. a. pasobiensis. The status of these subspecies remains questionable. S. a. prenjensis is often not considered to be valid. S. a. aurorae has been sometimes considered to be a separate species. Joger (1996), using serum proteins, showed significant differences, and he proposed the elevation of S. a. aurorae to a full species. Veith et al. (1998), analyzing mitDNA of S. a. aurorae did not find any significant difference. Riberon et al. (2001) indicate a complex pattern of divergence for the alpine populations, without reaching or stressing any taxonomic consequences.",AMPHIBIA,SALAMANDRIDAE,Salamandra,,,,19843,Salamandra atra,ANIMALIA,CAUDATA,CHORDATA,atra,"Laurenti, 1768"
22216,"The exact ranges of members of the Triturus cristatus superspecies are unclear in the central Balkans  because of narrow or extensive areas of hybridization. Two isolated subspecies have been described, occurring to the east and west of the Iron Gates of the Danube.",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,22216,Triturus dobrogicus,ANIMALIA,CAUDATA,CHORDATA,dobrogicus,"(Kiritzescu, 1903)"
54598,,AMPHIBIA,BUFONIDAE,Epidalea,,,,54598,Epidalea calamita,ANIMALIA,ANURA,CHORDATA,calamita,"(Laurenti, 1768)"
55517,"This is a broader concept of this species including formerly separated Hyla perrini (Dufresnes et al. 2018), now again recognized as subspecies of H. intermedia (Dufresnes et al. 2021).",AMPHIBIA,HYLIDAE,Hyla,,,,55517,Hyla intermedia,ANIMALIA,ANURA,CHORDATA,intermedia,"Boulenger, 1882"
58052,,AMPHIBIA,PELOBATIDAE,Pelobates,,,,58052,Pelobates cultripes,ANIMALIA,ANURA,CHORDATA,cultripes,"(Cuvier, 1829)"
58605,,AMPHIBIA,RANIDAE,Rana,,,,58605,Rana graeca,ANIMALIA,ANURA,CHORDATA,graeca,"Boulenger, 1891"
58622,,AMPHIBIA,RANIDAE,Rana,,,,58622,Rana iberica,ANIMALIA,ANURA,CHORDATA,iberica,"Boulenger, 1879"
58637,"The name Rana balcanica Schneider and Sinsch, 1992 is occasionally used, but this is a junior synonym of Pelophylax kurtmuelleri (Dubois and Ohler 1994).  The species status of P. kurtmuelleri is controversial (Speybroeck et al. 2010, 2020), mostly due to its low mtDNA divergence and shared interspecific polymorphism with P. ridibundus (e.g., Lymberakis et al. 2007, Akin et al. 2010, Plötner et al. 2012, Hofman et al. 2015, Litvinchuk et al. 2020) and weak morphometric differentiation (Papežík et al. 2021). The taxon was thus considered conspecific with P. ridibundus&nbsp;by&nbsp;Speybroeck et al.&nbsp;(2010) and&nbsp;Sindaco and Razzetti (2021).",AMPHIBIA,RANIDAE,Pelophylax,,,,58637,Pelophylax kurtmuelleri,ANIMALIA,ANURA,CHORDATA,kurtmuelleri,"(Gayda, 1940)"
58692,,AMPHIBIA,RANIDAE,Pelophylax,,,,58692,Pelophylax perezi,ANIMALIA,ANURA,CHORDATA,perezi,"(López-Seoane, 1885)"
59448,We follow Carranza and Amat (2005) in transferring this species from Euproctus to the genus Calotriton.,AMPHIBIA,SALAMANDRIDAE,Calotriton,,,,59448,Calotriton asper,ANIMALIA,CAUDATA,CHORDATA,asper,"(Dugès, 1852)"
59472,,AMPHIBIA,SALAMANDRIDAE,Ichthyosaura,,,,59472,Ichthyosaura alpestris,ANIMALIA,CAUDATA,CHORDATA,alpestris,"(Laurenti, 1768)"
59475,,AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,59475,Lissotriton helveticus,ANIMALIA,CAUDATA,CHORDATA,helveticus,"(Razoumowsky, 1789)"
59478,"The Carpathian Newt (Lissotriton montandoni) has been confirmed to be a closely related sister species to Lissotriton vulgaris and a member of the proposed Smooth Newt or Lissotriton vulgaris species complex or group (Litvinchuk et al. 2005, Wielstra et al. 2018).",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,59478,Lissotriton montandoni,ANIMALIA,CAUDATA,CHORDATA,montandoni,"(Boulenger, 1880)"
59479,,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,59479,Triturus pygmaeus,ANIMALIA,CAUDATA,CHORDATA,pygmaeus,"(Wolterstorff, 1905)"
153567,"Dufresnes&nbsp;et al.&nbsp;(2019) revised the taxonomy of the&nbsp;B. viridis&nbsp;complex, synonymizing&nbsp;B. balearicus&nbsp;and&nbsp;Bufo variabilis&nbsp;within it.",AMPHIBIA,BUFONIDAE,Bufotes,,,,153567,Bufotes balearicus,ANIMALIA,ANURA,CHORDATA,balearicus,"(Boettger, 1880)"
77970289,"There is ongoing debate about the distinctiveness between this species and Bombina pachypus (e.g. Hofman et al. 2007, Speybroeck et al. 2010, Fijarczyk et al. 2011). Bombina pachypus was synonymized with this species by Pabijan et al. (2013), however, consider this taxon as an incipient species.  We follow multiple European checklists (e.g. Speybroeck et al. 2010, Sillero et al. 2014, Speybroeck et al. 2020) and retain B. pachypus as a synonym of this species and should be considered valid at subspecies level (B.v. pachypus). Frost (2022) also treats B. pachypus as a synonym.",AMPHIBIA,BOMBINATORIDAE,Bombina,,,,77970289,Bombina variegata,ANIMALIA,ANURA,CHORDATA,variegata,"(Linnaeus, 1758)"
79077482," Elevated from subspecies level of&nbsp;Lissotriton vulgaris&nbsp;by Dubois and Raffaëlli (2009), validated by Wielstra et al. (2018). ",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79077482,Lissotriton graecus,ANIMALIA,CAUDATA,CHORDATA,graecus,"(Wolterstorff, 1906)"
79078647,"This is a restricted concept of this species following the split of the broader concept into this and Lissotriton graecus, L. kosswigi and L. lantzi (Dubois and Raffaëlli 2009).  L. schmidtleri, assigned as a separate species by Pabijanet al. 2017 and Wielstra et al. (2018), has been recognized as a subspecies of L. vulgaris by Taxonomic Committee of Societas Europaea Herpetologica, who require more information on contact zones between L. v. schmidtleri and L. v. vulgaris before the species rank of schmidtleri can be accepted, and maintain both L. v. schmidtleri and L. v. lantzi, as subspecies of L. vulgaris (Speybroeck et al. 2020). However, this assessment follows Amphibian Species of the World (Frost 2021) in recognising both L. schmidtleri and L. lantzi as valid species.",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79078647,Lissotriton vulgaris,ANIMALIA,CAUDATA,CHORDATA,vulgaris,"(Linnaeus, 1758)"
79079411,"This is a restricted concept of this species following the split of the broader concept into this and Lissotriton maltzani (Sequiera et al. 2020, Speybroeck et al. 2020).",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79079411,Lissotriton boscai,ANIMALIA,CAUDATA,CHORDATA,boscai,"(Lataste, 1879)"
82493101,"This was previously considered a subspecies of Hyla arborea, until it was elevated to species status by Stöck et al. (2008).",AMPHIBIA,HYLIDAE,Hyla,,,,82493101,Hyla molleri,ANIMALIA,ANURA,CHORDATA,molleri,"Bedriaga, 1889"
82496838,"This is a restricted concept of this species following the split of the broader concept into this, Hyla molleri and H. orientalis, which were both elevated from subspecies level (Stöck et al. 2008).",AMPHIBIA,HYLIDAE,Hyla,,,,82496838,Hyla arborea,ANIMALIA,ANURA,CHORDATA,arborea,"(Linnaeus, 1758)"
88104000,"Triturus cristatus was formerly considered to include four subspecies: T. cristatus cristatus; T. cristatus dobrogicus; T. cristatus karelinii; and T. cristatus carnifex. These are now recognized as separate species under the Triturus cristatus superspecies. On the basis of results of molecular genetic analyses, Triturus carnifex has been split into Triturus carnifex s.l. and Triturus macedonicus.",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,88104000,Triturus macedonicus,ANIMALIA,CAUDATA,CHORDATA,macedonicus,"(Karaman, 1922)"
88416883,,AMPHIBIA,RANIDAE,Pelophylax,,,,88416883,Pelophylax lessonae,ANIMALIA,ANURA,CHORDATA,lessonae,"(Camerano, 1882)"
114139495,This is a split from the broader concept of Pelodytes punctatus (Díaz-Rodríguez et al. 2017).,AMPHIBIA,PELODYTIDAE,Pelodytes,,,,114139495,Pelodytes atlanticus,ANIMALIA,ANURA,CHORDATA,atlanticus,"Díaz-Rodríguez, Gehara, Márquez, Vences, Gonçalves, Sequeira, Martínez-Solano &amp; Tejedo, 2017"
172312067,This is a split from the broader concept of Pelobates syriacus (Dufresnes et al. 2019).,AMPHIBIA,PELOBATIDAE,Pelobates,,,,172312067,Pelobates balcanicus,ANIMALIA,ANURA,CHORDATA,balcanicus,"Karaman, 1928"
172962880,,AMPHIBIA,BUFONIDAE,Bufotes,,,,172962880,Bufotes cypriensis,ANIMALIA,ANURA,CHORDATA,cypriensis,"Litvinchuk, Mazepa, Jablonski, Dufresnes, 2019"
