AOO.justification,AOO.range,AOOContinuingDecline.isInContinuingDecline,AOOContinuingDecline.justification,AOOContinuingDecline.qualifier,AOODetails.breedingRange,AOODetails.breedingRangeJustification,AOODetails.nonbreedingRange,AOODetails.nonbreedingRangeJustification,AOOExtremeFluctuation.isFluctuating,AOOExtremeFluctuation.justification,AreaRestricted.isRestricted,AreaRestricted.justification,AvgAnnualFecundity.fecundity,AvgReproductiveAge.age,AvgReproductiveAge.units,BirthSize.size,Congregatory.value,CropWildRelative.isRelative,CurrentTrendDataDerivation.value,DepthLower.limit,DepthUpper.limit,DepthZone.depthZone,EOO.justification,EOO.range,EOOContinuingDecline.isContinuingDecline,EOOContinuingDecline.justification,EOOContinuingDecline.qualifier,EOODetails.breedingRange,EOODetails.nonbreedingRange,EOOExtremeFluctuation.isFluctuating,EOOExtremeFluctuation.justification,EggLaying.layEggs,ElevationLower.limit,ElevationUpper.limit,ExtinctionProbabilityGenerations3.justification,ExtinctionProbabilityGenerations3.range,ExtinctionProbabilityGenerations5.justification,ExtinctionProbabilityGenerations5.range,ExtinctionProbabilityYears100.justification,ExtinctionProbabilityYears100.range,FemaleMaturityAge.age,FemaleMaturityAge.units,FemaleMaturitySize.size,FreeLivingLarvae.hasStage,GenerationLength.justification,GenerationLength.quality,GenerationLength.range,GestationTime.time,GestationTime.units,HabitatContinuingDecline.isDeclining,HabitatContinuingDecline.justification,HabitatContinuingDecline.qualifier,IdentificationDescription.text,InPlaceEducationControlled.note,InPlaceEducationControlled.value,InPlaceEducationInternationalLegislation.note,InPlaceEducationInternationalLegislation.value,InPlaceEducationSubjectToPrograms.note,InPlaceEducationSubjectToPrograms.value,InPlaceLandWaterProtectionAreaPlanned.note,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceLandWaterProtectionInPA.note,InPlaceLandWaterProtectionInPA.value,InPlaceLandWaterProtectionInvasiveControl.note,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionPercentProtected.note,InPlaceLandWaterProtectionPercentProtected.value,InPlaceLandWaterProtectionSitesIdentified.note,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceResearchMonitoringScheme.note,InPlaceResearchMonitoringScheme.value,InPlaceResearchRecoveryPlan.note,InPlaceResearchRecoveryPlan.value,InPlaceSpeciesManagementExSitu.note,InPlaceSpeciesManagementExSitu.value,InPlaceSpeciesManagementHarvestPlan.note,InPlaceSpeciesManagementHarvestPlan.value,InPlaceSpeciesManagementReintroduced.note,InPlaceSpeciesManagementReintroduced.value,LiveBirth.liveBirth,Livelihoods.noInfo,LocationContinuingDecline.inDecline,LocationContinuingDecline.justification,LocationContinuingDecline.qualifier,LocationExtremeFluctuation.isFluctuating,LocationExtremeFluctuation.justification,LocationsNumber.justification,LocationsNumber.range,Longevity.longevity,Longevity.units,MaleMaturityAge.age,MaleMaturityAge.units,MaleMaturitySize.size,MatureIndividualsSubpopulation.value,MaxSize.size,MaxSubpopulationSize.range,MovementPatterns.pattern,NaturalMortality.value,NoThreats.noThreats,NonConsumptiveUse.isNonConsumptiveUse,NonConsumptiveUseDescription.narrative,NotUtilized.isNotUtilized,Parthenogenesis.exhibitsParthenogenesis,PopulationContinuingDecline.isDeclining,PopulationContinuingDecline.justification,PopulationContinuingDecline.qualifier,PopulationDeclineGenerations1.justification,PopulationDeclineGenerations1.qualifier,PopulationDeclineGenerations1.range,PopulationDeclineGenerations2.justification,PopulationDeclineGenerations2.qualifier,PopulationDeclineGenerations2.range,PopulationDeclineGenerations3.justification,PopulationDeclineGenerations3.qualifier,PopulationDeclineGenerations3.range,PopulationExtremeFluctuation.isFluctuating,PopulationExtremeFluctuation.justification,PopulationIncreaseRate.narrative,PopulationReductionFuture.direction,PopulationReductionFuture.justification,PopulationReductionFuture.qualifier,PopulationReductionFuture.range,PopulationReductionFutureBasis.detail,PopulationReductionFutureBasis.value,PopulationReductionPast.direction,PopulationReductionPast.justification,PopulationReductionPast.qualifier,PopulationReductionPast.range,PopulationReductionPastBasis.detail,PopulationReductionPastBasis.value,PopulationReductionPastCeased.value,PopulationReductionPastReversible.value,PopulationReductionPastUnderstood.value,PopulationReductionPastandFuture.direction,PopulationReductionPastandFuture.justification,PopulationReductionPastandFuture.numYears,PopulationReductionPastandFuture.qualifier,PopulationReductionPastandFuture.range,PopulationReductionPastandFutureBasis.detail,PopulationReductionPastandFutureBasis.value,PopulationReductionPastandFutureCeased.value,PopulationReductionPastandFutureReversible.value,PopulationReductionPastandFutureUnderstood.value,PopulationSize.range,ReproductivePeriodicity.value,SevereFragmentation.isFragmented,SevereFragmentation.justification,SubpopulationContinuingDecline.isDeclining,SubpopulationContinuingDecline.justification,SubpopulationContinuingDecline.qualifier,SubpopulationExtremeFluctuation.isFluctuating,SubpopulationExtremeFluctuation.justification,SubpopulationNumber.justification,SubpopulationNumber.range,SubpopulationSingle.value,ThreatsUnknown.value,TrendInDomesticOfftake.value,TrendInWildOfftake.value,UTCaptiveHarvest.value,UTHarvestTrendComments.narrative,UTIntlCommercialValue.value,UTLocalLivelihood.localcommercial,UTLocalLivelihood.localcommercialDetail,UTLocalLivelihood.subsistence,UTLocalLivelihood.subsistenceRationale,UTNatlCommercialValue.value,UseTradeNoInformation.value,WaterBreeding.value,YearOfPopulationEstimate.value,assessment_id,internal_taxon_id,internal_taxon_name
,"50-500,60",No,,,,,,,No,,Yes,,,,,,,,Observed,,,,,519,No,,,,,No,,Yes,10,850,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,Yes,"Appendix II of the Berne Convention, on Annexes II and IV of the EU Natural Habitats Directive",Yes,,Yes,A systematic programme is in place to remove Natrix maura from the range of the species.,Yes,,Yes,,,,,,"Yes, over entire range",,Yes,,,,Yes,,,,Yes,No,false,No,,,No,,,1-5,,,,,,,,,Not a Migrant,,false,false,,true,No,Yes,,Inferred,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000-3000,1900",,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,2022,207979274,977,Alytes muletensis
,1216,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,6921,No,,,,,No,,Yes,80,1900,,,,,,,,,,Yes,,,,,,Yes,,Inferred,,,,Appendix II of the Berne Convention and on Annexes II and IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,207979535,6714,Discoglossus montalentii
,,,,,,,,,,,No,,,,,,,,Suspected,,,,,200418,No,,,,,No,,Yes,100,1300,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,"Appendix II of the Bern Convention, and on Annex IV of the EU Habitats Directive",Yes,,,,,Cabañeros and Doñana National Parks (Spain),Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,Not a Migrant,,false,false,,true,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,207980155,55266,Alytes cisternasii
,,,,,,,,,,,No,,,,,,,,Observed,,,,,114090,,,,,,,,Yes,0,1770,,,,,,,,,,Yes,,,,,,Yes,,Inferred,,,,"""IAppendix II of the Berne Convention.  Annex IV of the EU Natural Habitats Directive. \nProtected by national legislation in Italy.\nVulnerable on the Italian National Red List (Rondinini et al. 2013) \nLeast Concern in France (UICN_France, MNHN&SHF 2015). \n""",Yes,,,,,"This species has been recorded from Parc o Nazionale dell’Arcipelago Toscano (Giglio and Montecristo islands, where the latter is an integral natural reserve), Parco Nationale del’Arcipelago di La Maddalena and Parco Nazionale del Golfo di Orosei e del Gennargentu-Parco Regionale dei Sette Fratelli-Monte Genis, and in Port-Cros National Park in France. ",Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,Not a Migrant,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,207980412,55271,Discoglossus sardus
,332-400,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,25660,No,,,,,No,,Yes,0,500,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Appendix III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,Unknown,,,No,,,6-10,,,,,,,,,Not a Migrant,,false,false,,false,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,Unknown,,,No,,,Yes,,Yes,false,Yes,,207981785,58592,Pelophylax epeiroticus
,,Unknown,,,,,,,No,,No,,3000,,,,,,Suspected,,,,,10387,Unknown,,,,,No,,Yes,0,500,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Appendix III of the Bern Convention,Yes,,,,,Lake Skadar protected area,Yes,,,,,,,,,,,,,,,,,No,false,Unknown,,,No,,,,,,,,,,73.80,,Not a Migrant,,false,false,,false,No,Yes,,Inferred,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,false,,Unknown,Unknown,,Yes,,,No,,Yes,false,Yes,,207982996,58715,Pelophylax shqipericus
,408,Unknown,,,,,,,No,,No,,,,,,,,Suspected,,,,,10609,Unknown,,Observed,,,No,,Yes,50,1800,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,This species is listed on Appendix II of the Bern Convention and on Annex IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,Yes,,,,Yes,,,,,No,false,Yes,,Inferred,No,,,"4-10,5",,,,,,,,,Not a Migrant,,false,false,,false,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Inferred,No,,,,No,false,Unknown,Unknown,Unknown,,Yes,,,,,Yes,false,Yes,,223758127,8371,Euproctus platycephalus
,1740,Unknown,,,,,,,No,,No,,,,,,,,Observed,,,,,62897,No,,,,,No,,Yes,0,1743,,,,,,,,,,Yes,,,,,,Unknown,,,,,,"""Appendix II of the Bern Convention and Annex IV of the EU Habitats Directive\nNT A2e in the Italian Red List Status (Rondinini et al. 2013)""",Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,false,false,,true,No,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,223764163,55645,Hyla sarda
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,129824,,,,,,,,Yes,0,1450,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Appendix III of Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,Not a Migrant,,false,false,,true,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,227224480,58055,Pelodytes ibericus
,432,Unknown,,,,,,,No,,No,,,,,,,,Suspected,,,,,14100,No,,,,,No,,Yes,0,920,,,,,,,,,,Yes,,,,,,Yes,,Inferred,,,,Listed in Annex V of the EU Habitats Directive (92/43/EEC) and Appendix III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,Unknown,,,No,,,1-10,,,,,,,,,Not a Migrant,,false,false,,true,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,227225745,58581,Pelophylax cretensis
