internal_taxon_id,internal_taxon_name,language,name,primary
977,Alytes muletensis,English,Majorca Midwife Toad,false
977,Alytes muletensis,English,Majorcan Midwife Toad,false
977,Alytes muletensis,Spanish; Castilian,Ferreret,false
977,Alytes muletensis,Catalan; Valencian,Ferreret,false
977,Alytes muletensis,English,Mallorcan Midwife Toad,true
979,Alytes dickhilleni,Spanish; Castilian,Sapo Partero Bético,false
979,Alytes dickhilleni,English,Betic Midwife Toad,true
6714,Discoglossus montalentii,English,Corsican Painted Frog,false
6714,Discoglossus montalentii,French,Discoglosse Corse,true
8371,Euproctus platycephalus,English,Sardinian Mountain Newt,false
8371,Euproctus platycephalus,Italian,Tritone Sardo,false
8371,Euproctus platycephalus,English,Sardinian Brook Salamander,true
20455,Speleomantes flavus,English,Monte Albo Cave Salamander,false
20455,Speleomantes flavus,English,Stefani's Salamander,false
20455,Speleomantes flavus,Italian,Geotritone del Monte Albo,false
20455,Speleomantes flavus,English,Mount Albo's Cave Salamander,true
20456,Speleomantes genei,English,Gene's Cave Salamander,false
20456,Speleomantes genei,English,Sardinian Cave Salamander,false
20456,Speleomantes genei,Italian,Geotritone di Gené,false
20456,Speleomantes genei,English,Gené's Cave Salamander,true
20457,Speleomantes imperialis,English,Imperial Cave Salamander,false
20457,Speleomantes imperialis,English,Odorous Cave Salamander,false
20457,Speleomantes imperialis,Italian,Geotritone Imperiale,false
20457,Speleomantes imperialis,Italian,Geotritone Odoroso,false
20457,Speleomantes imperialis,English,Scented Cave Salamander,true
20459,Speleomantes supramontis,Italian,Geotritone del Supramonte,false
20459,Speleomantes supramontis,English,Supramonte Cave Salamander,true
55266,Alytes cisternasii,Spanish; Castilian,Sapo Partero Ibérico,false
55266,Alytes cisternasii,English,Iberian Midwife Toad,true
55271,Discoglossus sardus,French,Discoglosse sarde,false
55271,Discoglossus sardus,Italian,Discoglosso Sardo,false
55271,Discoglossus sardus,English,Tyrrhenian Painted Frog,true
55645,Hyla sarda,English,Tyrrhenian Tree Frog,false
55645,Hyla sarda,Italian,Raganella Tirrenica,false
55645,Hyla sarda,French,Rainette sarde,false
55645,Hyla sarda,English,Sardinian Tree Frog,true
58055,Pelodytes ibericus,Spanish; Castilian,Sapillo Moteado Ibérico,false
58055,Pelodytes ibericus,English,Iberian Parsley Frog,true
58567,Pelophylax cerigensis,English,Karpathos Frog,true
58581,Pelophylax cretensis,English,Cretan Frog,true
58592,Pelophylax epeiroticus,"Greek, Modern (1453-)",Βάτραχος της Ηπείρου,false
58592,Pelophylax epeiroticus,English,Epirus Water Frog,true
58624,Rana italica,Italian,Rana Appenninica,false
58624,Rana italica,English,Italian Stream Frog,true
58715,Pelophylax shqipericus,English,Balkan Frog,false
58715,Pelophylax shqipericus,English,Skutari Water Frog,false
58715,Pelophylax shqipericus,English,Virpazar Frog,false
58715,Pelophylax shqipericus,Albanian,Bretkosa Shqiptare,false
58715,Pelophylax shqipericus,English,Albanian Water Frog,true
59449,Euproctus montanus,English,Corsican Brook Salamander,false
59449,Euproctus montanus,English,Corsican Mountain Newt,true
59465,Salamandra corsica,French,Salamandre de Corse (La),false
59465,Salamandra corsica,English,Corsican Fire Salamander,true
59468,Salamandrina terdigitata,Italian,Salamandrina Dagli Occhiali,false
59468,Salamandrina terdigitata,English,Spectacled Salamander,true
59476,Lissotriton italicus,Italian,Tritone Italiano,false
59476,Lissotriton italicus,English,Italian Newt,true
61918,Lyciasalamandra helverseni,"Greek, Modern (1453-)",κοχυλίνα,false
61918,Lyciasalamandra helverseni,English,Karpathos Salamander,true
135825,Speleomantes sarrabusensis,English,Sarrabus Cave Salamander,false
135825,Speleomantes sarrabusensis,English,Sette Fratelli Cave Salamander,true
58892549,Pelophylax cypriensis,Turkish,Kıbrıs Su Kurbağası,false
58892549,Pelophylax cypriensis,English,Cyprus Water Frog,true
79079357,Lissotriton maltzani,English,Portuguese Smooth Newt,true
