ConservationActions.ConservationActionsSubfield.ConservationActionsLookup,ConservationActions.ConservationActionsSubfield.ConservationActionsName,ConservationActions.ConservationActionsSubfield.note,assessment_id,internal_taxon_id,internal_taxon_name
3.3.1,,"",207979274,977,Alytes muletensis
2.2,,"",207979274,977,Alytes muletensis
3.4.1,,"",207979274,977,Alytes muletensis
5.2,,"",207979274,977,Alytes muletensis
2.1,,"",207980155,55266,Alytes cisternasii
1.1,,"",207980155,55266,Alytes cisternasii
1.2,,"",207980155,55266,Alytes cisternasii
1.1,,"",207980412,55271,Discoglossus sardus
4.3,,"",207980412,55271,Discoglossus sardus
1.2,,"",207980412,55271,Discoglossus sardus
2.1,,"",207980412,55271,Discoglossus sardus
2.2,,"",207980412,55271,Discoglossus sardus
2.3,,"",207980412,55271,Discoglossus sardus
2.1,,"",207981785,58592,Pelophylax epeiroticus
2.1,,"",207982996,58715,Pelophylax shqipericus
4.3,,"",207982996,58715,Pelophylax shqipericus
3.1.1,,"",207982996,58715,Pelophylax shqipericus
3.2,,"",223758127,8371,Euproctus platycephalus
4.3,,"",223758127,8371,Euproctus platycephalus
5.1.1,,"",223758127,8371,Euproctus platycephalus
5.2,,"",223758127,8371,Euproctus platycephalus
2.1,,"",223758127,8371,Euproctus platycephalus
2.2,,"",223758127,8371,Euproctus platycephalus
2.3,,"",223758127,8371,Euproctus platycephalus
1.1,,"",223764163,55645,Hyla sarda
2.1,,"",227225745,58581,Pelophylax cretensis
1.1,,"",227225745,58581,Pelophylax cretensis
1.2,,"",227225745,58581,Pelophylax cretensis
2.2,,"",227225745,58581,Pelophylax cretensis
5.1.1,,"",227234846,59465,Salamandra corsica
5.2,,"",227234846,59465,Salamandra corsica
2.2,,"",227234846,59465,Salamandra corsica
5.1.1,,"",227235526,59468,Salamandrina terdigitata
5.2,,"",227235526,59468,Salamandrina terdigitata
2.2,,"",227235526,59468,Salamandrina terdigitata
5.1.1,,"",227235866,20455,Speleomantes flavus
5.2,,"",227235866,20455,Speleomantes flavus
2.1,,"",227235866,20455,Speleomantes flavus
2.2,,"",227235866,20455,Speleomantes flavus
5.1.1,,"",227236143,20456,Speleomantes genei
5.2,,"",227236143,20456,Speleomantes genei
2.1,,"",227236143,20456,Speleomantes genei
2.2,,"",227236143,20456,Speleomantes genei
5.1.1,,"",227236400,20457,Speleomantes imperialis
5.2,,"",227236400,20457,Speleomantes imperialis
2.1,,"",227236400,20457,Speleomantes imperialis
2.2,,"",227236400,20457,Speleomantes imperialis
5.1.1,,"",227236611,135825,Speleomantes sarrabusensis
5.2,,"",227236611,135825,Speleomantes sarrabusensis
2.1,,"",227236611,135825,Speleomantes sarrabusensis
2.2,,"",227236611,135825,Speleomantes sarrabusensis
1.1,,"",227237010,20459,Speleomantes supramontis
5.1.1,,"",227237010,20459,Speleomantes supramontis
1.2,,"",227237010,20459,Speleomantes supramontis
5.2,,"",227237010,20459,Speleomantes supramontis
2.1,,"",227237010,20459,Speleomantes supramontis
2.2,,"",227237010,20459,Speleomantes supramontis
2.1,,"",228179357,979,Alytes dickhilleni
2.2,,"",228179357,979,Alytes dickhilleni
5.1.1,,"",228181894,59449,Euproctus montanus
5.2,,"",228181894,59449,Euproctus montanus
2.2,,"",228181894,59449,Euproctus montanus
5.1.1,,"",228185515,79079357,Lissotriton maltzani
5.2,,"",228185515,79079357,Lissotriton maltzani
2.2,,"",228185515,79079357,Lissotriton maltzani
5.1.1,,"",228186236,61918,Lyciasalamandra helverseni
5.2,,"",228186236,61918,Lyciasalamandra helverseni
2.2,,"",228186236,61918,Lyciasalamandra helverseni
1.1,,,229002159,58567,Pelophylax cerigensis
2.1,,,229002159,58567,Pelophylax cerigensis
2.3,,,229002159,58567,Pelophylax cerigensis
3.1.1,,"",229002620,58892549,Pelophylax cypriensis
3.1.2,,"",229002620,58892549,Pelophylax cypriensis
1.1,,"",229002620,58892549,Pelophylax cypriensis
1.2,,"",229002620,58892549,Pelophylax cypriensis
2.3,,"",229002620,58892549,Pelophylax cypriensis
5.1.1,,"",229006043,59476,Lissotriton italicus
5.2,,"",229006043,59476,Lissotriton italicus
2.1,,"",229006043,59476,Lissotriton italicus
2.2,,"",229006043,59476,Lissotriton italicus
