CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,assessment_id,internal_taxon_id,internal_taxon_name
BAL-OO,,,Native,Extant,Resident,207979274,977,Alytes muletensis
ES,,,Native,Extant,Resident,207979274,977,Alytes muletensis
FR,,,Native,Extant,Resident,207979535,6714,Discoglossus montalentii
COR-OO,,,Native,Extant,Resident,207979535,6714,Discoglossus montalentii
SPA-SP,,,Native,Extant,Resident,207980155,55266,Alytes cisternasii
PT,,,Native,Extant,Resident,207980155,55266,Alytes cisternasii
ES,,,Native,Extant,Resident,207980155,55266,Alytes cisternasii
POR-OO,,,Native,Extant,Resident,207980155,55266,Alytes cisternasii
SAR-OO,,,Native,Extant,Resident,207980412,55271,Discoglossus sardus
FR,,,Native,Extant,Resident,207980412,55271,Discoglossus sardus
COR-OO,,,Native,Extant,Resident,207980412,55271,Discoglossus sardus
FRA-FR,,,Introduced,Extant,Resident,207980412,55271,Discoglossus sardus
IT,,,Native,Extant,Resident,207980412,55271,Discoglossus sardus
GR,,,Native,Extant,Resident,207981785,58592,Pelophylax epeiroticus
GRC-OO,,,Native,Extant,Resident,207981785,58592,Pelophylax epeiroticus
AL,,,Native,Extant,Resident,207981785,58592,Pelophylax epeiroticus
ITA-IT,,,Introduced,Extant,Resident,207982996,58715,Pelophylax shqipericus
AL,,,Native,Extant,Resident,207982996,58715,Pelophylax shqipericus
IT,,,Introduced,Extant,Resident,207982996,58715,Pelophylax shqipericus
ME,,,Native,Extant,Resident,207982996,58715,Pelophylax shqipericus
HR,,,Introduced,Presence Uncertain,Resident,207982996,58715,Pelophylax shqipericus
IT,,,Native,Extant,Resident,223758127,8371,Euproctus platycephalus
SAR-OO,,,Native,Extant,Resident,223758127,8371,Euproctus platycephalus
FR,,,Native,Extant,Resident,223764163,55645,Hyla sarda
COR-OO,,,Native,Extant,Resident,223764163,55645,Hyla sarda
IT,,,Native,Extant,Resident,223764163,55645,Hyla sarda
SAR-OO,,,Native,Extant,Resident,223764163,55645,Hyla sarda
ITA-IT,,,Native,Extant,Resident,223764163,55645,Hyla sarda
PT,,,Native,Extant,Resident,227224480,58055,Pelodytes ibericus
POR-OO,,,Native,Extant,Resident,227224480,58055,Pelodytes ibericus
ES,,,Native,Extant,Resident,227224480,58055,Pelodytes ibericus
SPA-SP,,,Native,Extant,Resident,227224480,58055,Pelodytes ibericus
GR,,,Native,Extant,Resident,227225745,58581,Pelophylax cretensis
KRI-OO,,,Native,Extant,Resident,227225745,58581,Pelophylax cretensis
IT,,,Native,Extant,Resident,227231646,58624,Rana italica
ITA-IT,,,Native,Extant,Resident,227231646,58624,Rana italica
SM,,,Native,Extant,Resident,227231646,58624,Rana italica
FR,,,Native,Extant,Resident,227234846,59465,Salamandra corsica
COR-OO,,,Native,Extant,Resident,227234846,59465,Salamandra corsica
IT,,,Native,Extant,Resident,227235526,59468,Salamandrina terdigitata
ITA-IT,,,Native,Extant,Resident,227235526,59468,Salamandrina terdigitata
IT,,,Native,Extant,Resident,227235866,20455,Speleomantes flavus
SAR-OO,,,Native,Extant,Resident,227235866,20455,Speleomantes flavus
IT,,,Native,Extant,Resident,227236143,20456,Speleomantes genei
SAR-OO,,,Native,Extant,Resident,227236143,20456,Speleomantes genei
IT,,,Native,Extant,Resident,227236400,20457,Speleomantes imperialis
SAR-OO,,,Native,Extant,Resident,227236400,20457,Speleomantes imperialis
IT,,,Native,Extant,Resident,227236611,135825,Speleomantes sarrabusensis
SAR-OO,,,Native,Extant,Resident,227236611,135825,Speleomantes sarrabusensis
IT,,,Native,Extant,Resident,227237010,20459,Speleomantes supramontis
SAR-OO,,,Native,Extant,Resident,227237010,20459,Speleomantes supramontis
ES,,,Native,Extant,Resident,228179357,979,Alytes dickhilleni
SPA-SP,,,Native,Extant,Resident,228179357,979,Alytes dickhilleni
FR,,,Native,Extant,Resident,228181894,59449,Euproctus montanus
COR-OO,,,Native,Extant,Resident,228181894,59449,Euproctus montanus
PT,,,Native,Extant,Resident,228185515,79079357,Lissotriton maltzani
POR-OO,,,Native,Extant,Resident,228185515,79079357,Lissotriton maltzani
GR,,,Native,Extant,Resident,228186236,61918,Lyciasalamandra helverseni
EAI-OO,,,Native,Extant,Resident,228186236,61918,Lyciasalamandra helverseni
GR,,,Native,Extant,Resident,229002159,58567,Pelophylax cerigensis
EAI-OO,,,Native,Extant,Resident,229002159,58567,Pelophylax cerigensis
CY,,,Native,Extant,Resident,229002620,58892549,Pelophylax cypriensis
IT,,,Native,Extant,Resident,229006043,59476,Lissotriton italicus
ITA-IT,,,Native,Extant,Resident,229006043,59476,Lissotriton italicus
