GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,assessment_id,internal_taxon_id,internal_taxon_name
5.1,,Yes,Resident,Suitable,207979274,977,Alytes muletensis
14.2,,,Resident,Suitable,207979274,977,Alytes muletensis
5.18,,Yes,Resident,Suitable,207979274,977,Alytes muletensis
15.1,,,Resident,Suitable,207979274,977,Alytes muletensis
1.4,,Yes,Resident,Suitable,207979535,6714,Discoglossus montalentii
5.2,,Yes,Resident,Suitable,207979535,6714,Discoglossus montalentii
5.1,,Yes,Resident,Suitable,207979535,6714,Discoglossus montalentii
3.8,,Yes,Resident,Suitable,207980155,55266,Alytes cisternasii
5.2,,Yes,Resident,Suitable,207980155,55266,Alytes cisternasii
5.8,,Yes,Resident,Suitable,207980155,55266,Alytes cisternasii
14.2,,,Resident,Suitable,207980155,55266,Alytes cisternasii
1.4,,Yes,Resident,Suitable,207980155,55266,Alytes cisternasii
15.3,,,Resident,Suitable,207980155,55266,Alytes cisternasii
3.4,,,Resident,Suitable,207980155,55266,Alytes cisternasii
5.7,,,Resident,Suitable,207980412,55271,Discoglossus sardus
15.9,,,Resident,Suitable,207980412,55271,Discoglossus sardus
5.2,,,Resident,Suitable,207980412,55271,Discoglossus sardus
5.8,,,Resident,Suitable,207980412,55271,Discoglossus sardus
1.4,,,Resident,Suitable,207980412,55271,Discoglossus sardus
5.1,,,Resident,Suitable,207980412,55271,Discoglossus sardus
5.1,,Yes,Resident,Suitable,207981785,58592,Pelophylax epeiroticus
5.7,,Yes,Resident,Suitable,207981785,58592,Pelophylax epeiroticus
5.5,,Yes,Resident,Suitable,207981785,58592,Pelophylax epeiroticus
14.3,,No,Resident,Suitable,207981785,58592,Pelophylax epeiroticus
5.4,,Yes,Resident,Suitable,207981785,58592,Pelophylax epeiroticus
3.8,,Yes,Resident,Suitable,207981785,58592,Pelophylax epeiroticus
5.7,,Yes,Resident,Suitable,207982996,58715,Pelophylax shqipericus
5.1,,Yes,Resident,Suitable,207982996,58715,Pelophylax shqipericus
15.9,,Yes,Resident,Suitable,207982996,58715,Pelophylax shqipericus
5.4,,Yes,Resident,Suitable,207982996,58715,Pelophylax shqipericus
5.5,,Yes,Resident,Suitable,207982996,58715,Pelophylax shqipericus
15.2,,No,Resident,Suitable,223758127,8371,Euproctus platycephalus
3.4,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
3.8,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
5.1,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
5.2,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
5.7,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
5.8,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
5.18,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
1.4,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
7.1,,Yes,Resident,Suitable,223758127,8371,Euproctus platycephalus
14.5,,Yes,Resident,Suitable,223764163,55645,Hyla sarda
3.4,,Yes,Resident,Suitable,223764163,55645,Hyla sarda
5.1,,Yes,Resident,Suitable,223764163,55645,Hyla sarda
5.2,,Yes,Resident,Suitable,223764163,55645,Hyla sarda
5.7,,Yes,Resident,Suitable,223764163,55645,Hyla sarda
5.8,,Yes,Resident,Suitable,223764163,55645,Hyla sarda
1.4,,Yes,Resident,Suitable,223764163,55645,Hyla sarda
3.8,,,Resident,Suitable,227224480,58055,Pelodytes ibericus
14.1,,,Resident,Marginal,227224480,58055,Pelodytes ibericus
14.2,,,Resident,Marginal,227224480,58055,Pelodytes ibericus
15.2,,,Resident,Marginal,227224480,58055,Pelodytes ibericus
15.5,,,Resident,Marginal,227224480,58055,Pelodytes ibericus
15.9,,,Resident,Marginal,227224480,58055,Pelodytes ibericus
5.1,,,Resident,Marginal,227224480,58055,Pelodytes ibericus
5.6,,,Resident,Suitable,227224480,58055,Pelodytes ibericus
5.7,,,Resident,Suitable,227224480,58055,Pelodytes ibericus
5.16,,,Resident,Marginal,227224480,58055,Pelodytes ibericus
1.4,,,Resident,Suitable,227224480,58055,Pelodytes ibericus
15.9,,,Resident,Marginal,227225745,58581,Pelophylax cretensis
5.1,,Yes,Resident,Suitable,227225745,58581,Pelophylax cretensis
5.2,,Yes,Resident,Suitable,227225745,58581,Pelophylax cretensis
5.4,,Yes,Resident,Suitable,227225745,58581,Pelophylax cretensis
5.5,,Yes,Resident,Suitable,227225745,58581,Pelophylax cretensis
5.6,,Yes,Resident,Suitable,227225745,58581,Pelophylax cretensis
5.7,,Yes,Resident,Suitable,227225745,58581,Pelophylax cretensis
5.8,,Yes,Resident,Suitable,227225745,58581,Pelophylax cretensis
15.1,,,Resident,Unknown,227225745,58581,Pelophylax cretensis
15.2,,Yes,Resident,Suitable,227225745,58581,Pelophylax cretensis
5.4,,,Resident,Marginal,227231646,58624,Rana italica
5.7,,,Resident,Marginal,227231646,58624,Rana italica
5.8,,,Resident,Marginal,227231646,58624,Rana italica
5.1,,Yes,Resident,Suitable,227231646,58624,Rana italica
5.2,,Yes,Resident,Suitable,227231646,58624,Rana italica
3.8,,,Resident,Marginal,227234846,59465,Salamandra corsica
5.1,,Yes,Resident,Suitable,227234846,59465,Salamandra corsica
5.2,,Yes,Resident,Suitable,227234846,59465,Salamandra corsica
5.4,,,Resident,Marginal,227234846,59465,Salamandra corsica
