Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,internal_taxon_name,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,"",207979274,"Arnold, E.N","","",,977,Alytes muletensis,"","","","",288,"",Princeton University Press,"","","","",Published,Reptiles and Amphibians of Europe,book,"","",2003
Assessment,,"",207979274,"Gasc, J.-P., Cabela, A., Crnobrnja-Isailovic, J., Dolmen, D., Grossenbacher, K., Haffner, P., Lescure, J., Martens, H., Martinez Rica, J.P., Maurin, H., Oliveira, M.E., Sofianidou, T.S., Veith, M. and Zuiderwijk, A.","","",,977,Alytes muletensis,"",Europe herpetology frog newt lizard snake salamander,"","",494,Paris,Societas Europea Herpetologica & Museum National d’Histoire Naturelle,"","","","",Published,Atlas of Amphibians and Reptiles in Europe,edited book,"","",1997
Assessment,,"",207979274,"Bosch, J., Sánchez-Tomé, E., Fernández-Loras, A., Oliver, J.A., Fisher, M.C. and Garner, T.W.J.","","",,977,Alytes muletensis,"","",11,"",20150874. DOI:https://doi.org/10.1098/rsbl.2015.0874,"","","",Biology Letters ,"","",Published,Successful elimination of a lethal wildlife infectious disease in nature,journal article,"",11,2015
Assessment,,,207979274,"Doddington, B.J., Bosch, J., Oliver, J.A., Grassly, N.C., García, G., Benedikt, R.S., Garner, T.W.J. and Fisher, M.C.",,,,977,Alytes muletensis,,,,,1795-1804,,,,Ecology,,,Published,Context-dependent amphibian host population response to an invading pathogen.,journal article,,98,2013
Assessment,,"",207979274,"Pinya, S. and Pérez-Mellado, V.","","",,977,Alytes muletensis,"","",3,"",263-268,"","","",Endangered Species Research,"","",Published,Ageing and growth of the endangered midwife toad <i>Alytes muletensis</i>.,journal article,"",22,2014b
Assessment,,"",207979274,"Pinya, S. and Perez-Mellado, V","","",,977,Alytes muletensis,"","","","",115-117,"","","",Acta Herpetologica,"","",Published,Clutch size in wild populations of <i>Alytes muletensis</i>,journal article,"",9,2014a
Assessment,,,207979274,"Pinya, S., Tavecchia, G., Perez-Mellado, V.  ",,,,977,Alytes muletensis,,,,,123–130,,,,Endangered Species Research ,,,Published,Population model of an endangered amphibian: implications for conservation management,journal article,,34,2017
Assessment,,"",207979274,"Cortes-Fernandez, I","","",,977,Alytes muletensis,"","","","","","","UIB, Spain","","","","",Published,Dynamics and trends of the populations of the Mallorcan midwife toad (<i>Alytes muletensis</i>). Master Thesis,thesis,"","",2018
Assessment,,"",207979274,IUCN,28 October 2024,"",,977,Alytes muletensis,"","",28 October 2024,"","","","","","","","","",The IUCN Red List of Threatened Species. Version 2024-2,electronic source,www.iucnredlist.org,"",2024
Assessment,,"",207979535,"Gasc, J.-P., Cabela, A., Crnobrnja-Isailovic, J., Dolmen, D., Grossenbacher, K., Haffner, P., Lescure, J., Martens, H., Martinez Rica, J.P., Maurin, H., Oliveira, M.E., Sofianidou, T.S., Veith, M. and Zuiderwijk, A.","","",,6714,Discoglossus montalentii,"",Europe herpetology frog newt lizard snake salamander,"","",494,Paris,Societas Europea Herpetologica & Museum National d’Histoire Naturelle,"","","","",Published,Atlas of Amphibians and Reptiles in Europe,edited book,"","",1997
