Research.ResearchSubfield.ResearchLookup,Research.ResearchSubfield.ResearchName,Research.ResearchSubfield.note,assessment_id,internal_taxon_id,internal_taxon_name
3.1,,,207979274,977,Alytes muletensis
2.1,,,207979274,977,Alytes muletensis
3.1,,"",207979535,6714,Discoglossus montalentii
3.4,,"",207979535,6714,Discoglossus montalentii
1.5,,"",207979535,6714,Discoglossus montalentii
3.1,,"",207980155,55266,Alytes cisternasii
1.2,,"",207980155,55266,Alytes cisternasii
1.1,,"",207980412,55271,Discoglossus sardus
3.1,,"",207980412,55271,Discoglossus sardus
3.4,,"",207980412,55271,Discoglossus sardus
1.5,,"",207980412,55271,Discoglossus sardus
1.3,,"",207981785,58592,Pelophylax epeiroticus
1.2,,"",207981785,58592,Pelophylax epeiroticus
1.5,,"",207981785,58592,Pelophylax epeiroticus
1.2,,"",207982996,58715,Pelophylax shqipericus
3.1,,"",223758127,8371,Euproctus platycephalus
1.5,,"",223758127,8371,Euproctus platycephalus
3.1,,"",223764163,55645,Hyla sarda
3.1,,"",227224480,58055,Pelodytes ibericus
1.2,,"",227225745,58581,Pelophylax cretensis
3.1,,"",227234846,59465,Salamandra corsica
3.1,,"",227235526,59468,Salamandrina terdigitata
3.1,,"",227235866,20455,Speleomantes flavus
1.5,,"",227235866,20455,Speleomantes flavus
3.1,,"",227236143,20456,Speleomantes genei
1.2,,"",227236143,20456,Speleomantes genei
3.1,,"",227236611,135825,Speleomantes sarrabusensis
1.2,,"",227236611,135825,Speleomantes sarrabusensis
1.5,,"",227236611,135825,Speleomantes sarrabusensis
3.1,,"",227237010,20459,Speleomantes supramontis
1.2,,"",227237010,20459,Speleomantes supramontis
1.5,,"",227237010,20459,Speleomantes supramontis
3.1,,"",228179357,979,Alytes dickhilleni
3.1,,"",228181894,59449,Euproctus montanus
1.5,,"",228181894,59449,Euproctus montanus
1.2,,"",228185515,79079357,Lissotriton maltzani
1.5,,"",228185515,79079357,Lissotriton maltzani
3.1,,"",228186236,61918,Lyciasalamandra helverseni
1.5,,"",228186236,61918,Lyciasalamandra helverseni
3.1,,"",229002159,58567,Pelophylax cerigensis
1.2,,"",229002159,58567,Pelophylax cerigensis
3.4,,"",229002159,58567,Pelophylax cerigensis
1.5,,"",229002159,58567,Pelophylax cerigensis
3.1,,"",229002620,58892549,Pelophylax cypriensis
1.2,,"",229002620,58892549,Pelophylax cypriensis
1.3,,"",229002620,58892549,Pelophylax cypriensis
1.5,,"",229006043,59476,Lissotriton italicus
