Threats.ThreatsSubfield.StressesSubfield.stress,Threats.ThreatsSubfield.StressesSubfield.stressdesc,Threats.ThreatsSubfield.ThreatsLookup,Threats.ThreatsSubfield.ThreatsName,Threats.ThreatsSubfield.ancestry,Threats.ThreatsSubfield.ias,Threats.ThreatsSubfield.internationalTrade,Threats.ThreatsSubfield.scope,Threats.ThreatsSubfield.severity,Threats.ThreatsSubfield.text,Threats.ThreatsSubfield.timing,Threats.ThreatsSubfield.virus,assessment_id,internal_taxon_id,internal_taxon_name
1.1|1.2,,7.2.11,,,,,,,,Ongoing,,207979274,977,Alytes muletensis
1.2|1.1,,1.2,,,,,,,,Ongoing,,207979274,977,Alytes muletensis
1.2,,7.2.8,,,,,,,,Ongoing,,207979274,977,Alytes muletensis
2.1,,8.1.2,,,Batrachochytrium dendrobatidis,,,,,Ongoing,,207979274,977,Alytes muletensis
2.3.2|2.1,,8.1.2,,,,,,,,Ongoing,,207979274,977,Alytes muletensis
2.1,,8.2,,,,,,,,Ongoing,,207979274,977,Alytes muletensis
1.1|1.2,,1.1,,,,,,,,Ongoing,,207979274,977,Alytes muletensis
2.2|2.1|1.2,,6.1,,,,,,,,Ongoing,,207979274,977,Alytes muletensis
1.2,,11.2,,,,,,,,Ongoing,,207979274,977,Alytes muletensis
2.3.7|1.2,,11.1,,,,,Unknown,"Slow, Significant Declines",,Future,,207979535,6714,Discoglossus montalentii
1.2|1.3,,7.2.11,,,,,Unknown,"Slow, Significant Declines",,Ongoing,,207979535,6714,Discoglossus montalentii
1.2,,7.3,,,,,,,,Ongoing,,207980155,55266,Alytes cisternasii
2.3.2|1.2,,8.1.2,,,Procambarus clarkii,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,,207980155,55266,Alytes cisternasii
1.2|1.1,,7.2.11,,,,,,,,Ongoing,,207980155,55266,Alytes cisternasii
1.2,,9.2.3,,,,,,,,Ongoing,,207980155,55266,Alytes cisternasii
1.2,,9.1.3,,,,,,,,Ongoing,,207980155,55266,Alytes cisternasii
1.2|1.1,,2.1.3,,,,,,,,Ongoing,,207980155,55266,Alytes cisternasii
1.2|1.1,,1.1,,,,,,,,Ongoing,,207980155,55266,Alytes cisternasii
1.2,,9.3.4,,,,,,,,Ongoing,,207980155,55266,Alytes cisternasii
2.1,,8.2.2,,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Future,,207980155,55266,Alytes cisternasii
1.2,,7.2.1,,,,,Minority (<50%),Unknown,,Ongoing,,207980412,55271,Discoglossus sardus
1.1|1.2,,2.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,207980412,55271,Discoglossus sardus
1.1|1.2,,1.3,,,,,Minority (<50%),Unknown,,Ongoing,,207980412,55271,Discoglossus sardus
2.1,,8.1.2,,,Batrachochytrium dendrobatidis,,Minority (<50%),Unknown,,Ongoing,,207980412,55271,Discoglossus sardus
2.3.2|2.1,,8.1.2,,,Pelophylax ridibundus,,Minority (<50%),Unknown,,Ongoing,,207980412,55271,Discoglossus sardus
1.1|1.2,,7.2.11,,,,,Minority (<50%),Unknown,,Ongoing,,207980412,55271,Discoglossus sardus
1.2,,11.1,,,,,Minority (<50%),Unknown,,Ongoing,,207980412,55271,Discoglossus sardus
1.2,,8.2.2,,Feral,Sus scrofa,,Minority (<50%),Unknown,,Ongoing,,207980412,55271,Discoglossus sardus
2.1,,5.1.1,,,,Yes,Unknown,Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.2,,7.2.8,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.2,,11.1,,,,,Majority (50-90%),Unknown,,Future,,207981785,58592,Pelophylax epeiroticus
1.1|1.2,,1.3,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.2,,3.3,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.1|1.2,,1.2,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.2,,9.2.3,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.2,,7.2.11,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.1|1.2,,2.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.2,,9.1.3,,,,,Unknown,Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
2.1,,8.1.2,,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.1|1.2,,1.1,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.1|1.2,,2.3.3,,,,,Minority (<50%),Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
2.3.1,,8.2.2,,,Pelophylax ridibundus,,Unknown,Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
2.3.1,,8.2.2,,,Pelophylax kurtmuelleri,,Unknown,Unknown,,Ongoing,,207981785,58592,Pelophylax epeiroticus
1.1|1.2,,4.1,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
1.1|1.2,,1.1,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
2.3.2,,8.1.2,,,Aquarana catesbeianus,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
1.2,,9.2.3,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
2.1,,8.1.2,,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
1.1|1.2,,7.2.4,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
1.1|1.2,,2.3.3,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
1.2,,9.1.3,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
1.1|1.2,,2.1.3,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
1.2,,9.3.4,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
1.1|1.2,,3.2,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
2.1,,5.1.1,,,,Yes,Unknown,"Slow, Significant Declines",,Ongoing,,207982996,58715,Pelophylax shqipericus
1.2,,6.1,,,,,Unknown,Unknown,,Ongoing,,207982996,58715,Pelophylax shqipericus
2.1,,5.1.1,,,,Yes,Unknown,Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
1.2,,11.2,,,,,Unknown,Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
1.2,,7.2.8,,,,,Minority (<50%),Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
2.1,,8.1.1,,,,,Minority (<50%),Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
2.1,,8.1.2,,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
2.1,,8.1.2,,,Batrachochytrium salamandrivorans,,Unknown,Unknown,,Future,,223758127,8371,Euproctus platycephalus
2.2,,6.1,,,,,Minority (<50%),Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
1.1|1.2,,2.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
1.3|2.1,,8.1.2,,,Procambarus clarkii,,Unknown,Unknown,,Unknown,,223758127,8371,Euproctus platycephalus
2.1,,8.1.2,,,Natrix maura,,Unknown,Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
2.1,,8.1.2,,,Procambarus virginalis,,Unknown,Unknown,,Ongoing,,223758127,8371,Euproctus platycephalus
