AOO.justification,AOO.range,AOOContinuingDecline.isInContinuingDecline,AOOContinuingDecline.justification,AOOContinuingDecline.qualifier,AOODetails.breedingRange,AOODetails.breedingRangeJustification,AOODetails.nonbreedingRange,AOODetails.nonbreedingRangeJustification,AOOExtremeFluctuation.isFluctuating,AOOExtremeFluctuation.justification,AreaRestricted.isRestricted,AreaRestricted.justification,AvgAnnualFecundity.fecundity,AvgReproductiveAge.age,AvgReproductiveAge.units,BirthSize.size,Congregatory.value,CropWildRelative.isRelative,CurrentTrendDataDerivation.value,DepthLower.limit,DepthUpper.limit,DepthZone.depthZone,EOO.justification,EOO.range,EOOContinuingDecline.isContinuingDecline,EOOContinuingDecline.justification,EOOContinuingDecline.qualifier,EOODetails.breedingRange,EOODetails.nonbreedingRange,EOOExtremeFluctuation.isFluctuating,EOOExtremeFluctuation.justification,EggLaying.layEggs,ElevationLower.limit,ElevationUpper.limit,ExtinctionProbabilityGenerations3.justification,ExtinctionProbabilityGenerations3.range,ExtinctionProbabilityGenerations5.justification,ExtinctionProbabilityGenerations5.range,ExtinctionProbabilityYears100.justification,ExtinctionProbabilityYears100.range,FemaleMaturityAge.age,FemaleMaturityAge.units,FemaleMaturitySize.size,FreeLivingLarvae.hasStage,GenerationLength.justification,GenerationLength.quality,GenerationLength.range,GestationTime.time,GestationTime.units,HabitatContinuingDecline.isDeclining,HabitatContinuingDecline.justification,HabitatContinuingDecline.qualifier,IdentificationDescription.text,InPlaceEducationControlled.note,InPlaceEducationControlled.value,InPlaceEducationInternationalLegislation.note,InPlaceEducationInternationalLegislation.value,InPlaceEducationSubjectToPrograms.note,InPlaceEducationSubjectToPrograms.value,InPlaceLandWaterProtectionAreaPlanned.note,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceLandWaterProtectionInPA.note,InPlaceLandWaterProtectionInPA.value,InPlaceLandWaterProtectionInvasiveControl.note,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionPercentProtected.note,InPlaceLandWaterProtectionPercentProtected.value,InPlaceLandWaterProtectionSitesIdentified.note,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceResearchMonitoringScheme.note,InPlaceResearchMonitoringScheme.value,InPlaceResearchRecoveryPlan.note,InPlaceResearchRecoveryPlan.value,InPlaceSpeciesManagementExSitu.note,InPlaceSpeciesManagementExSitu.value,InPlaceSpeciesManagementHarvestPlan.note,InPlaceSpeciesManagementHarvestPlan.value,InPlaceSpeciesManagementReintroduced.note,InPlaceSpeciesManagementReintroduced.value,LiveBirth.liveBirth,Livelihoods.noInfo,LocationContinuingDecline.inDecline,LocationContinuingDecline.justification,LocationContinuingDecline.qualifier,LocationExtremeFluctuation.isFluctuating,LocationExtremeFluctuation.justification,LocationsNumber.justification,LocationsNumber.range,Longevity.longevity,Longevity.units,MaleMaturityAge.age,MaleMaturityAge.units,MaleMaturitySize.size,MatureIndividualsSubpopulation.value,MaxSize.size,MaxSubpopulationSize.range,MovementPatterns.pattern,NaturalMortality.value,NoThreats.noThreats,NonConsumptiveUse.isNonConsumptiveUse,NonConsumptiveUseDescription.narrative,NotUtilized.isNotUtilized,Parthenogenesis.exhibitsParthenogenesis,PopulationContinuingDecline.isDeclining,PopulationContinuingDecline.justification,PopulationContinuingDecline.qualifier,PopulationDeclineGenerations1.justification,PopulationDeclineGenerations1.qualifier,PopulationDeclineGenerations1.range,PopulationDeclineGenerations2.justification,PopulationDeclineGenerations2.qualifier,PopulationDeclineGenerations2.range,PopulationDeclineGenerations3.justification,PopulationDeclineGenerations3.qualifier,PopulationDeclineGenerations3.range,PopulationExtremeFluctuation.isFluctuating,PopulationExtremeFluctuation.justification,PopulationIncreaseRate.narrative,PopulationReductionFuture.direction,PopulationReductionFuture.justification,PopulationReductionFuture.qualifier,PopulationReductionFuture.range,PopulationReductionFutureBasis.detail,PopulationReductionFutureBasis.value,PopulationReductionPast.direction,PopulationReductionPast.justification,PopulationReductionPast.qualifier,PopulationReductionPast.range,PopulationReductionPastBasis.detail,PopulationReductionPastBasis.value,PopulationReductionPastCeased.value,PopulationReductionPastReversible.value,PopulationReductionPastUnderstood.value,PopulationReductionPastandFuture.direction,PopulationReductionPastandFuture.justification,PopulationReductionPastandFuture.numYears,PopulationReductionPastandFuture.qualifier,PopulationReductionPastandFuture.range,PopulationReductionPastandFutureBasis.detail,PopulationReductionPastandFutureBasis.value,PopulationReductionPastandFutureCeased.value,PopulationReductionPastandFutureReversible.value,PopulationReductionPastandFutureUnderstood.value,PopulationSize.range,ReproductivePeriodicity.value,SevereFragmentation.isFragmented,SevereFragmentation.justification,SubpopulationContinuingDecline.isDeclining,SubpopulationContinuingDecline.justification,SubpopulationContinuingDecline.qualifier,SubpopulationExtremeFluctuation.isFluctuating,SubpopulationExtremeFluctuation.justification,SubpopulationNumber.justification,SubpopulationNumber.range,SubpopulationSingle.value,ThreatsUnknown.value,TrendInDomesticOfftake.value,TrendInWildOfftake.value,UTCaptiveHarvest.value,UTHarvestTrendComments.narrative,UTIntlCommercialValue.value,UTLocalLivelihood.localcommercial,UTLocalLivelihood.localcommercialDetail,UTLocalLivelihood.subsistence,UTLocalLivelihood.subsistenceRationale,UTNatlCommercialValue.value,UseTradeNoInformation.value,WaterBreeding.value,YearOfPopulationEstimate.value,assessment_id,internal_taxon_id,internal_taxon_name
,,,,,,,,,,,Unknown,,,,,,,,Estimated,,,,,2811,Unknown,,,,,No,,No,0,273,,,,,,,,,,No,,,,,,Yes,,Observed,,,No,,No,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,false,Unknown,,,No,,,5,,,,,,,,,,,false,false,,false,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,Unknown,,,,,,,,Yes,false,No,,67694324,41241,Lyciasalamandra luschani
,,No,,,,,,,No,,No,,300,4,Years,,,,Suspected,,,,,2989692,No,,,,,No,,Yes,0,730,,,,,,,2,Years,,Yes,,,,,,Unknown,,,,,No,,No,,Yes,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,Yes,No,false,No,,,No,,,,7,Years,1,Years,,,4.43 (males); 4.40 (females),,,,false,false,,false,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,Unknown,Unknown,,,Yes,,,No,,Yes,false,Yes,,67862807,2865,Bombina bombina
,,,,,,,,,,,,,400,,,,,,Unknown,,,,,4631351,,,,,,,,Yes,0,1750,,,,,,,2-3,Years,,Yes,,,,,,,,,,,No,,No,,Yes,,,,Yes,,,,,,"Yes, over entire range",,,Bern Convention in 2006 (Edgar and Bird 2006).,Yes,,,,,,,No,false,,,,,,,,,,2-3,Years,,,,,,,false,false,,false,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,Not cultivated,Unknown,,,Yes,,,No,,Yes,false,Yes,,200183152,22212,Triturus cristatus
,,Unknown,,,,,,,No,,No,,1500,,,,,,Suspected,,,,,321152,Unknown,,,,,No,,Yes,0,1500,,,,,,,4,Years,,Yes,,,,,,Unknown,,,,,No,Appendix II of the Bern Convention and on Annex IV of the EU Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,200187939,55270,Discoglossus pictus
,,,,,,,,,,,No,,"Great Britain (range 425 - 4796, Gittins et al., 1984; 700 ? 5000, Reading, 1986), Netherlands (1859 - 6305, Van Gelder, 1995), Germany (750 - 8100, Kuhn, 1994) and Serbia ((619-12822, Jovanović 2021; 2118-15050, Tomašević et al. 2008)",,,,,,Inferred,,,,,,,,,,,,,Yes,0,3000,,,,,,,3,Years,,Yes,,,,,,Yes,,Observed,,,No,Appendix III of the Berne Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,12 in males 15 in females,Years,2,Years,,,72.4 mm (males) 96.3 mm (females),,Not a Migrant,,false,false,,false,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,Unknown,,,Yes,,,No,,Yes,false,Yes,,200188858,88316072,Bufo bufo
,,,,,,,,,,,,,,"",Years,,,,Inferred,,,,,855343,,,,,,,,Yes,0,2600,,,,,,,4,Years,,Yes,,,,,,,,,,,No,Appendix III of the Bern Convention and Conservation of Wildlife Law in Jersey,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,15,Years,3,Years,,,,,Not a Migrant,,false,false,,true,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,No,,,No,,No,false,Yes,,200190036,88316046,Bufo spinosus
,,No,,,,,,,No,,,,,,,,,,Not Applicable,,,,,20000,Unknown,,,,,Unknown,,Yes,0,1350,,,,,,,,,,Yes,,,,,,,,,,,No,Appendix II of the Bern Convention and Annex IV of the EU Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,Not a Migrant,,false,false,,false,No,Unknown,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,Yes,,,,,,false,Yes,,200191612,182525327,Bufotes boulengeri
,,,,,,,,,,,No,,,,,,,,Observed,,,,,9236364,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,No,Appendix II of the Bern Convention and is listed on Annex IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,Yes,No,false,,,,,,,,,,,,,,,,Not a Migrant,,false,false,,false,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,Unknown,Unknown,,,Yes,,,No,,Yes,false,Yes,,200192160,182530066,Bufotes viridis
,,,,,,,,,,,No,,,,,,,,Suspected,,,,,305775,Unknown,,,,,No,,Yes,0,2650,,,,,,,,,,Yes,,,,,,,,,,,No,,No,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,false,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,true,Yes,,200196698,173109790,Hyla meridionalis
,,,,,,,,,,,No,,10000,,,,,,Unknown,,,,,,,,,,,,,Yes,0,1500,,,,,,,3,Years,,Yes,,,,,,Unknown,,,,,No,,No,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,false,,,,,,,,,,2,Years,,,,,,,false,false,,false,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,Stable,,,No,,,Yes,,No,false,Yes,,200682549,58893474,Pelophylax bedriagae
,,Unknown,,,,,,,No,,No,,,,,,,,Unknown,,,,,6121179,Unknown,,,,,No,,Yes,0,2000,,,,,,,3,Years,,Yes,,,,,,,,,,,No,,No,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,false,Unknown,,,No,,,,,,2,Years,,,,,,,true,false,,false,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,Unknown,Increasing,,,Yes,,,Yes,,Yes,false,Yes,,200716374,58705,Pelophylax ridibundus
