internal_taxon_id,internal_taxon_name,language,name,primary
2865,Bombina bombina,Romanian,Buhai de balta cu burta roșie,false
2865,Bombina bombina,Croatian,Crveni mukač,false
2865,Bombina bombina,Serbian,Crvenotrbi mukač,false
2865,Bombina bombina,Turkish,Kırmızılı Kurbağa,false
2865,Bombina bombina,Russian,Krasnobrykhaya Zherlyanka,false
2865,Bombina bombina,Polish,Kumak Nizinny,false
2865,Bombina bombina,Czech,Kuňka obecná,false
2865,Bombina bombina,Slovenian,Nižinski ugh,false
2865,Bombina bombina,German,Rotbauchunke,false
2865,Bombina bombina,Italian,Ululone Dal Ventre Giallo,false
2865,Bombina bombina,Hungarian,Vöröshasú unka,false
2865,Bombina bombina,"Greek, Modern (1453-)",Κοκκινομπομπίνα,false
2865,Bombina bombina,English,Fire-bellied Toad,true
22212,Triturus cristatus,English,Northern Crested Newt,false
22212,Triturus cristatus,Russian,Grebenchatyi Triton,false
22212,Triturus cristatus,Hungarian,Közönséges tarajosgőte,false
22212,Triturus cristatus,German,Nördlicher Kammmolch,false
22212,Triturus cristatus,Serbian,Oбични велики мрмољак,false
22212,Triturus cristatus,Polish,Traszka Grzebieniasta,false
22212,Triturus cristatus,English,Great Crested Newt,true
41241,Lyciasalamandra luschani,Turkish,Likya Kara Semenderi,false
41241,Lyciasalamandra luschani,"Greek, Modern (1453-)",σαλαμάνδρα του Καστελλόριζου,false
41241,Lyciasalamandra luschani,English,Luschan's Salamander,true
54703,Sclerophrys mauritanica,English,Berber Toad,false
54703,Sclerophrys mauritanica,English,Moorish Toad,false
54703,Sclerophrys mauritanica,French,Crapaud de Maurétanie,false
54703,Sclerophrys mauritanica,Spanish; Castilian,Sapo Moruno,false
54703,Sclerophrys mauritanica,Arabic,علجوم مغاربي,false
54703,Sclerophrys mauritanica,English,Moroccan Toad,true
55270,Discoglossus pictus,French,Discoglosse Peint,false
55270,Discoglossus pictus,Italian,Discoglosso Dipinto,false
55270,Discoglossus pictus,Spanish; Castilian,Sapillo Pintojo Mediterráneo o Argelino,false
55270,Discoglossus pictus,English,Painted Frog,true
58054,Pelobates varaldii,English,Moroccan Spadefoot Toad,false
58054,Pelobates varaldii,French,Pélobate de Varaldi,false
58054,Pelobates varaldii,French,Pélobate Marocain,false
58054,Pelobates varaldii,English,Varaldi’s Spadefoot Toad,true
58548,Rana arvalis,English,Altai Brown Frog (Altai Mountains Populations),false
58548,Rana arvalis,English,Siberian Frog,false
58548,Rana arvalis,Slovenian,Barska Saba,false
58548,Rana arvalis,Romanian,Broasca de mlaștină,false
58548,Rana arvalis,Hungarian,Mocsári béka,false
58548,Rana arvalis,Croatian,Močvarna smeđa žaba,false
58548,Rana arvalis,German,Moorfrosch,false
58548,Rana arvalis,Russian,Ostromordaya Lyagushka,false
58548,Rana arvalis,Czech,Skokan ostronosý,false
58548,Rana arvalis,Polish,Zaba Moczarowa,false
58548,Rana arvalis,Chinese,田野蛙,false
58548,Rana arvalis,English,Moor Frog,true
58565,Aquarana catesbeianus,English,Bullfrog,false
58565,Aquarana catesbeianus,English,Common Bullfrog,false
58565,Aquarana catesbeianus,French,Grenouille-taureau,false
58565,Aquarana catesbeianus,Spanish; Castilian,Rana Toro,false
58565,Aquarana catesbeianus,Italian,Rana Toro,false
58565,Aquarana catesbeianus,Japanese,Ushigaeru,false
58565,Aquarana catesbeianus,"Greek, Modern (1453-)",Βουβαλοβάτραχος,false
58565,Aquarana catesbeianus,English,American Bullfrog,true
58584,Rana dalmatina,Turkish,Çevik Kurbağa,false
58584,Rana dalmatina,Hungarian,Erdei béka,false
58584,Rana dalmatina,Russian,Prytkaya Lyagushka,false
58584,Rana dalmatina,Spanish; Castilian,Rana Ágil,false
58584,Rana dalmatina,Italian,Rana Agile,false
58584,Rana dalmatina,Italian,Rana Dalmatina,false
58584,Rana dalmatina,Polish,Zaba Dalmatynska,false
58584,Rana dalmatina,Polish,Zaba Zwinka,false
58584,Rana dalmatina,"Greek, Modern (1453-)",Ευκίνητος Βάτραχος,false
58584,Rana dalmatina,Macedonian,Горска жаба,false
58584,Rana dalmatina,English,Agile Frog,true
58705,Pelophylax ridibundus,English,Eurasian Marsh Frog,false
58705,Pelophylax ridibundus,Hungarian,Nagy tavibéka,false
58705,Pelophylax ridibundus,Turkish,Ova Kurbağası,false
58705,Pelophylax ridibundus,Russian,Ozernaya Lyagushka,false
58705,Pelophylax ridibundus,Italian,Rana Ridibonda,false
58705,Pelophylax ridibundus,Polish,Zaba Smieszka,false
58705,Pelophylax ridibundus,"Greek, Modern (1453-)",Λιμνοβάτραχος,false
58705,Pelophylax ridibundus,Macedonian,Обична езерска жаба,false
58705,Pelophylax ridibundus,English,Marsh Frog,true
58707,Pelophylax saharicus,English,Sahara Frog,false
