ConservationActions.ConservationActionsSubfield.ConservationActionsLookup,ConservationActions.ConservationActionsSubfield.ConservationActionsName,ConservationActions.ConservationActionsSubfield.note,assessment_id,internal_taxon_id,internal_taxon_name
1.1,,"",67694324,41241,Lyciasalamandra luschani
4.3,,"",67694324,41241,Lyciasalamandra luschani
5.1.2,,"",67694324,41241,Lyciasalamandra luschani
5.1.3,,"",67694324,41241,Lyciasalamandra luschani
1.2,,"",67694324,41241,Lyciasalamandra luschani
2.3,,"",67694324,41241,Lyciasalamandra luschani
2.1,,,67862807,2865,Bombina bombina
5.4.3,,,67862807,2865,Bombina bombina
4.3,,,67862807,2865,Bombina bombina
3.1.1,,,200183152,22212,Triturus cristatus
3.1.2,,,200183152,22212,Triturus cristatus
3.3.1,,,200183152,22212,Triturus cristatus
4.3,,,200183152,22212,Triturus cristatus
2.1,,,200183152,22212,Triturus cristatus
2.3,,,200183152,22212,Triturus cristatus
4.3,,"",200188858,88316072,Bufo bufo
1.2,,"",200188858,88316072,Bufo bufo
2.3,,"",200188858,88316072,Bufo bufo
1.1,,"",200192160,182530066,Bufotes viridis
2.3,,"",200192160,182530066,Bufotes viridis
2.1,,"",200196698,173109790,Hyla meridionalis
2.2,,"",200196698,173109790,Hyla meridionalis
2.1,,,200682549,58893474,Pelophylax bedriagae
3.1.1,,,200716374,58705,Pelophylax ridibundus
3.1.2,,,200716374,58705,Pelophylax ridibundus
2.1,,"",200717774,58548,Rana arvalis
2.3,,"",200717774,58548,Rana arvalis
4.3,,,200718410,58584,Rana dalmatina
2.1,,,200718410,58584,Rana dalmatina
1.2,,"",200721782,173101508,Rana temporaria
2.3,,"",200721782,173101508,Rana temporaria
1.1,,,200741141,59463,Pleurodeles waltl
2.1,,,200741141,59463,Pleurodeles waltl
1.1,,,200741882,59464,Salamandra algira
2.1,,,200741882,59464,Salamandra algira
3.1.1,,,200746759,211146190,Triturus karelinii
3.1.2,,,200746759,211146190,Triturus karelinii
3.3.1,,,200746759,211146190,Triturus karelinii
2.1,,,200746759,211146190,Triturus karelinii
2.3,,,200746759,211146190,Triturus karelinii
1.2,,"",202049049,136687833,Salamandrella keyserlingii
1.1,,"",202052085,82494309,Hyla orientalis
1.2,,"",202052085,82494309,Hyla orientalis
2.3,,"",202052085,82494309,Hyla orientalis
1.1,,"",202052715,78928690,Hyla savignyi
1.2,,"",202052715,78928690,Hyla savignyi
2.2,,"",202052715,78928690,Hyla savignyi
4.3,,"",211757998,211757868,Lissotriton schmidtleri
1.2,,"",211757998,211757868,Lissotriton schmidtleri
