CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,assessment_id,internal_taxon_id,internal_taxon_name
EAI-OO,,,Native,Extant,Resident,67694324,41241,Lyciasalamandra luschani
GR,,,Native,Extant,Resident,67694324,41241,Lyciasalamandra luschani
BY,,,Native,Extant,Resident,67862807,2865,Bombina bombina
RU,,,Native,Extant,Resident,67862807,2865,Bombina bombina
RO,,,Native,Extant,Resident,67862807,2865,Bombina bombina
SK,,,Native,Extant,Resident,67862807,2865,Bombina bombina
PL,,,Native,Extant,Resident,67862807,2865,Bombina bombina
SE,,,Native,Extant,Resident,67862807,2865,Bombina bombina
BG,,,Native,Extant,Resident,67862807,2865,Bombina bombina
HU,,,Native,Extant,Resident,67862807,2865,Bombina bombina
UA,,,Native,Extant,Resident,67862807,2865,Bombina bombina
BA,,,Native,Extant,Resident,67862807,2865,Bombina bombina
LT,,,Native,Extant,Resident,67862807,2865,Bombina bombina
LV,,,Native,Extant,Resident,67862807,2865,Bombina bombina
GR,,,Native,Extant,Resident,67862807,2865,Bombina bombina
CZ,,,Native,Extant,Resident,67862807,2865,Bombina bombina
HR,,,Native,Extant,Resident,67862807,2865,Bombina bombina
DE,,,Native,Extant,Resident,67862807,2865,Bombina bombina
SI,,,Native,Extant,Resident,67862807,2865,Bombina bombina
GB,,,Introduced,Extant,Resident,67862807,2865,Bombina bombina
AT,,,Native,Extant,Resident,67862807,2865,Bombina bombina
MD,,,Native,Extant,Resident,67862807,2865,Bombina bombina
RS,,,Native,Extant,Resident,67862807,2865,Bombina bombina
DK,,,Native,Extant,Resident,67862807,2865,Bombina bombina
TUE-OO,,,Native,Extant,Resident,67862807,2865,Bombina bombina
GRC-OO,,,Native,Extant,Resident,67862807,2865,Bombina bombina
TR,,,Native,Extant,Resident,67862807,2865,Bombina bombina
YUG-SE,,,Native,Extant,Resident,67862807,2865,Bombina bombina
GRB-OO,,,Introduced,Extant,Resident,67862807,2865,Bombina bombina
KRY-OO,,,Introduced,Extant,Resident,67862807,2865,Bombina bombina
RU-EU,,,Native,Extant,Resident,67862807,2865,Bombina bombina
RUN-OO,,,Native,Extant,Resident,67862807,2865,Bombina bombina
RUC-OO,,,Native,Extant,Resident,67862807,2865,Bombina bombina
RUS-OO,,,Native,Extant,Resident,67862807,2865,Bombina bombina
FRA-FR,,,Introduced,Extant,Resident,67862807,2865,Bombina bombina
FR,,,Introduced,Extant,Resident,67862807,2865,Bombina bombina
UKR-UK,,,Native,Extant,Resident,67862807,2865,Bombina bombina
FR,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
AT,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
FI,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
BE,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
MD,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RU,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
CZ,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
DK,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
EE,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RS,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
DE,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
LU,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
HU,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
CH,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
NO,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
LV,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
GB,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
NL,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
SK,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RO,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
LI,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
LT,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
PL,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
SE,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
UA,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
BY,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
FRA-FR,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RU-EU,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RUE-OO,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
JE,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RUC-OO,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RUN-OO,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RUW-OO,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
YUG-SE,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
RUS-OO,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
UKR-UK,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
GRB-OO,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
BG,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
BLT-KA,,,Native,Extant,Resident,200183152,22212,Triturus cristatus
FRA-FR,,,Introduced,Extant,Resident,200187939,55270,Discoglossus pictus
FR,,,Introduced,Extant,Resident,200187939,55270,Discoglossus pictus
IT,,,Native,Extant,Resident,200187939,55270,Discoglossus pictus
SIC-SI,,,Native,Extant,Resident,200187939,55270,Discoglossus pictus
MT,,,Native,Extant,Resident,200187939,55270,Discoglossus pictus
ES,,,Native,Extant,Resident,200187939,55270,Discoglossus pictus
SPA-SP,,,Introduced,Extant,Resident,200187939,55270,Discoglossus pictus
MOR-SP,,,Native,Extant,Resident,200187939,55270,Discoglossus pictus
AT,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
AL,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
BE,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
GI,,,Introduced,Extant,Resident,200188858,88316072,Bufo bufo
CH,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
UA,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
DE,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
ITA-IT,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
YUG-SE,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
SK,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
LU,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RS,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
PL,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
HU,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
LI,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
SM,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
BA,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
LT,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
SE,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
