GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,assessment_id,internal_taxon_id,internal_taxon_name
3.8,,Yes,Resident,Suitable,67694324,41241,Lyciasalamandra luschani
6,,Yes,Resident,Suitable,67694324,41241,Lyciasalamandra luschani
5.8,,Yes,Resident,Suitable,67862807,2865,Bombina bombina
15.2,,No,Resident,Suitable,67862807,2865,Bombina bombina
14.1,,,Resident,Marginal,67862807,2865,Bombina bombina
15.6,,,Resident,Marginal,67862807,2865,Bombina bombina
14.5,,,Resident,Marginal,67862807,2865,Bombina bombina
4.4,,Yes,Resident,Suitable,67862807,2865,Bombina bombina
14.2,,No,Resident,Suitable,67862807,2865,Bombina bombina
1.4,,Yes,Resident,Suitable,67862807,2865,Bombina bombina
15.7,,No,Resident,Suitable,67862807,2865,Bombina bombina
15.8,,No,Resident,Suitable,67862807,2865,Bombina bombina
5.7,,Yes,Resident,Suitable,67862807,2865,Bombina bombina
5.4,,Yes,Resident,Suitable,67862807,2865,Bombina bombina
16,,,,Marginal,200183152,22212,Triturus cristatus
14.1,,,,Marginal,200183152,22212,Triturus cristatus
14.2,,,,Marginal,200183152,22212,Triturus cristatus
14.4,,,,Marginal,200183152,22212,Triturus cristatus
14.5,,,,Marginal,200183152,22212,Triturus cristatus
15.1,,,,Marginal,200183152,22212,Triturus cristatus
5.7,,,,Suitable,200183152,22212,Triturus cristatus
5.8,,,,Suitable,200183152,22212,Triturus cristatus
15.2,,,,Suitable,200183152,22212,Triturus cristatus
15.5,,,,Marginal,200183152,22212,Triturus cristatus
5.5,,,,Marginal,200183152,22212,Triturus cristatus
1.1,,,,Marginal,200183152,22212,Triturus cristatus
5.1,,,,Suitable,200183152,22212,Triturus cristatus
1.4,,,,Suitable,200183152,22212,Triturus cristatus
5.4,,,,Suitable,200183152,22212,Triturus cristatus
14.4,,,Resident,Suitable,200187939,55270,Discoglossus pictus
14.1,,,Resident,Suitable,200187939,55270,Discoglossus pictus
14.2,,,Resident,Marginal,200187939,55270,Discoglossus pictus
15.7,,,Resident,Suitable,200187939,55270,Discoglossus pictus
15.9,,,Resident,Suitable,200187939,55270,Discoglossus pictus
3.4,,Yes,Resident,Suitable,200187939,55270,Discoglossus pictus
3.8,,Yes,Resident,Suitable,200187939,55270,Discoglossus pictus
5.1,,,Resident,Suitable,200187939,55270,Discoglossus pictus
1.4,,Yes,Resident,Suitable,200187939,55270,Discoglossus pictus
5.2,,,Resident,Suitable,200187939,55270,Discoglossus pictus
5.7,,,Resident,Suitable,200187939,55270,Discoglossus pictus
5.8,,,Resident,Suitable,200187939,55270,Discoglossus pictus
1.5,,Yes,Resident,Suitable,200187939,55270,Discoglossus pictus
14.2,,,Resident,Suitable,200188858,88316072,Bufo bufo
14.1,,,Resident,Marginal,200188858,88316072,Bufo bufo
5.4,,,Resident,Suitable,200188858,88316072,Bufo bufo
5.6,,,Resident,Suitable,200188858,88316072,Bufo bufo
5.8,,,Resident,Suitable,200188858,88316072,Bufo bufo
1.1,,,Resident,Suitable,200188858,88316072,Bufo bufo
4.5,,,Resident,Suitable,200188858,88316072,Bufo bufo
5.5,,,Resident,Suitable,200188858,88316072,Bufo bufo
14.3,,,Resident,Marginal,200188858,88316072,Bufo bufo
14.4,,,Resident,Suitable,200188858,88316072,Bufo bufo
4.4,,,Resident,Suitable,200188858,88316072,Bufo bufo
14.5,,,Resident,Marginal,200188858,88316072,Bufo bufo
15.1,,,Resident,Marginal,200188858,88316072,Bufo bufo
15.2,,,Resident,Suitable,200188858,88316072,Bufo bufo
5.1,,,Resident,Suitable,200188858,88316072,Bufo bufo
1.4,,,Resident,Suitable,200188858,88316072,Bufo bufo
3.5,,,Resident,Suitable,200188858,88316072,Bufo bufo
15.5,,,Resident,Suitable,200188858,88316072,Bufo bufo
5.7,,,Resident,Suitable,200188858,88316072,Bufo bufo
15.7,,,Resident,Suitable,200188858,88316072,Bufo bufo
15.9,,,Resident,Suitable,200188858,88316072,Bufo bufo
3.8,,,Resident,Suitable,200188858,88316072,Bufo bufo
1.2,,,Resident,Suitable,200188858,88316072,Bufo bufo
5.9,,,Resident,Suitable,200188858,88316072,Bufo bufo
3.4,,,Resident,Suitable,200188858,88316072,Bufo bufo
3.1,,,Resident,Marginal,200188858,88316072,Bufo bufo
14.5,,,,Suitable,200190036,88316046,Bufo spinosus
14.1,,,Resident,Suitable,200190036,88316046,Bufo spinosus
5.7,,,Breeding Season,Suitable,200190036,88316046,Bufo spinosus
5.4,,,Resident,Suitable,200190036,88316046,Bufo spinosus
14.2,,,Resident,Suitable,200190036,88316046,Bufo spinosus
14.3,,,Resident,Suitable,200190036,88316046,Bufo spinosus
5.9,,,Breeding Season,Suitable,200190036,88316046,Bufo spinosus
14.4,,,Resident,Suitable,200190036,88316046,Bufo spinosus
4.4,,,Resident,Suitable,200190036,88316046,Bufo spinosus
15.1,,,Breeding Season,Suitable,200190036,88316046,Bufo spinosus
15.2,,,Breeding Season,Suitable,200190036,88316046,Bufo spinosus
15.5,,,Breeding Season,Suitable,200190036,88316046,Bufo spinosus
1.4,,,Resident,Suitable,200190036,88316046,Bufo spinosus
15.7,,,Breeding Season,Suitable,200190036,88316046,Bufo spinosus
4.5,,,Resident,Suitable,200190036,88316046,Bufo spinosus
15.9,,,Breeding Season,Suitable,200190036,88316046,Bufo spinosus
3.8,,,Resident,Suitable,200190036,88316046,Bufo spinosus
3.4,,,Resident,Suitable,200190036,88316046,Bufo spinosus
5.8,,,Breeding Season,Suitable,200190036,88316046,Bufo spinosus
3.5,,,Resident,Suitable,200190036,88316046,Bufo spinosus
14.3,,,Resident,Marginal,200191612,182525327,Bufotes boulengeri
14.1,,,Resident,Marginal,200191612,182525327,Bufotes boulengeri
14.2,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
5.5,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
14.4,,,Resident,Unknown,200191612,182525327,Bufotes boulengeri
14.5,,,Resident,Unknown,200191612,182525327,Bufotes boulengeri
15.1,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
5.7,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
15.2,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
1.4,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
15.7,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
15.9,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
5.4,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
5.9,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
5.1,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
5.8,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
3.4,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
4.4,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
3.8,,,Resident,Suitable,200191612,182525327,Bufotes boulengeri
3.8,,,Resident,Suitable,200192160,182530066,Bufotes viridis
14.1,,,Resident,Suitable,200192160,182530066,Bufotes viridis
14.2,,,Resident,Suitable,200192160,182530066,Bufotes viridis
14.4,,,Resident,Suitable,200192160,182530066,Bufotes viridis
5.4,,,Resident,Suitable,200192160,182530066,Bufotes viridis
14.5,,,Resident,Suitable,200192160,182530066,Bufotes viridis
15.2,,,Resident,Suitable,200192160,182530066,Bufotes viridis
5.8,,,Resident,Suitable,200192160,182530066,Bufotes viridis
15.5,,,Resident,Suitable,200192160,182530066,Bufotes viridis
1.4,,,Resident,Suitable,200192160,182530066,Bufotes viridis
15.7,,,Resident,Suitable,200192160,182530066,Bufotes viridis
5.1,,,Resident,Suitable,200192160,182530066,Bufotes viridis
15.9,,,Resident,Suitable,200192160,182530066,Bufotes viridis
5.9,,,Resident,Suitable,200192160,182530066,Bufotes viridis
3.4,,,Resident,Suitable,200192160,182530066,Bufotes viridis
4.4,,,Resident,Suitable,200192160,182530066,Bufotes viridis
5.7,,,Resident,Suitable,200192160,182530066,Bufotes viridis
13.3,,,Resident,Suitable,200192160,182530066,Bufotes viridis
3.4,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
15.2,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
15.9,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
3.8,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
4.4,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
5.1,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
5.2,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
5.7,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
5.8,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
1.4,,,Resident,Suitable,200196698,173109790,Hyla meridionalis
8.2,,,Resident,Marginal,200196698,173109790,Hyla meridionalis
3.5,,,,Suitable,200682549,58893474,Pelophylax bedriagae
3.4,,,,Marginal,200682549,58893474,Pelophylax bedriagae
5.9,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
5.5,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
5.7,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
4.4,,,,Marginal,200682549,58893474,Pelophylax bedriagae
1.4,,,,Marginal,200682549,58893474,Pelophylax bedriagae
5.8,,No,,Suitable,200682549,58893474,Pelophylax bedriagae
15.9,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
14.1,,No,,Suitable,200682549,58893474,Pelophylax bedriagae
14.2,,No,,Suitable,200682549,58893474,Pelophylax bedriagae
5.2,,No,,Suitable,200682549,58893474,Pelophylax bedriagae
15.1,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
5.6,,No,,Suitable,200682549,58893474,Pelophylax bedriagae
5.3,,No,,Suitable,200682549,58893474,Pelophylax bedriagae
5.4,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
15.2,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
15.3,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
15.5,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
5.1,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
15.7,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
15.8,,Yes,,Suitable,200682549,58893474,Pelophylax bedriagae
14.1,,,,Suitable,200716374,58705,Pelophylax ridibundus
13.5,,,,Marginal,200716374,58705,Pelophylax ridibundus
14.2,,,,Suitable,200716374,58705,Pelophylax ridibundus
4.4,,,,Suitable,200716374,58705,Pelophylax ridibundus
8.1,,,,Marginal,200716374,58705,Pelophylax ridibundus
5.5,,,,Suitable,200716374,58705,Pelophylax ridibundus
14.3,,,,Suitable,200716374,58705,Pelophylax ridibundus
14.4,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.13,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.8,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.9,,,,Suitable,200716374,58705,Pelophylax ridibundus
1.4,,,,Suitable,200716374,58705,Pelophylax ridibundus
15.7,,,,Suitable,200716374,58705,Pelophylax ridibundus
15.8,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.7,,,,Suitable,200716374,58705,Pelophylax ridibundus
7.2,,,,Marginal,200716374,58705,Pelophylax ridibundus
3.5,,,,Suitable,200716374,58705,Pelophylax ridibundus
14.5,,,,Suitable,200716374,58705,Pelophylax ridibundus
15.1,,,,Suitable,200716374,58705,Pelophylax ridibundus
15.2,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.4,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.2,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.6,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.1,,,,Suitable,200716374,58705,Pelophylax ridibundus
15.3,,,,Suitable,200716374,58705,Pelophylax ridibundus
16,,,,Suitable,200716374,58705,Pelophylax ridibundus
15.5,,,,Suitable,200716374,58705,Pelophylax ridibundus
3.4,,,,Suitable,200716374,58705,Pelophylax ridibundus
15.9,,,,Suitable,200716374,58705,Pelophylax ridibundus
1.5,,,,Suitable,200716374,58705,Pelophylax ridibundus
1.1,,,,Suitable,200716374,58705,Pelophylax ridibundus
5.12,,,,Marginal,200716374,58705,Pelophylax ridibundus
8.2,,,,Suitable,200716374,58705,Pelophylax ridibundus
9.10,,,,Marginal,200716374,58705,Pelophylax ridibundus
15.6,,,,Suitable,200716374,58705,Pelophylax ridibundus
14.1,,,,Suitable,200717357,58707,Pelophylax saharicus
15.2,,,,Suitable,200717357,58707,Pelophylax saharicus
15.7,,,,Suitable,200717357,58707,Pelophylax saharicus
5.1,,,,Suitable,200717357,58707,Pelophylax saharicus
5.5,,,,Suitable,200717357,58707,Pelophylax saharicus
14.4,,,,Suitable,200717774,58548,Rana arvalis
14.1,,,,Suitable,200717774,58548,Rana arvalis
5.4,,,,Suitable,200717774,58548,Rana arvalis
3.4,,,,Suitable,200717774,58548,Rana arvalis
4.1,,,,Marginal,200717774,58548,Rana arvalis
14.2,,,,Suitable,200717774,58548,Rana arvalis
14.5,,,,Suitable,200717774,58548,Rana arvalis
5.13,,,,Suitable,200717774,58548,Rana arvalis
3.3,,,,Suitable,200717774,58548,Rana arvalis
15.1,,,,Suitable,200717774,58548,Rana arvalis
5.7,,,,Suitable,200717774,58548,Rana arvalis
5.2,,,,Suitable,200717774,58548,Rana arvalis
15.2,,,,Suitable,200717774,58548,Rana arvalis
15.3,,,,Suitable,200717774,58548,Rana arvalis
5.10,,,,Marginal,200717774,58548,Rana arvalis
1.4,,,,Suitable,200717774,58548,Rana arvalis
4.2,,,,Marginal,200717774,58548,Rana arvalis
1.2,,,,Suitable,200717774,58548,Rana arvalis
15.5,,,,Suitable,200717774,58548,Rana arvalis
5.5,,,,Suitable,200717774,58548,Rana arvalis
15.6,,,,Suitable,200717774,58548,Rana arvalis
