Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,internal_taxon_name,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,"",67694324,"Veith, M., Baran, I., Godmann, O., Kiefer, A., Öz, M. and Tunç, M.R.","","",,41241,Lyciasalamandra luschani,"","","","",67-82,"","","",Zoology in the Middle East,"","",Published,"A revision of population designation and geographic distribution of the Lycian Salamander <i>Mertensiella luschani</i> (Steindachner, 1891)",journal article,"",22,2001
Assessment,,"",67694324,"Legakis, A. and Maragkou, P","","",,41241,Lyciasalamandra luschani,"","","","",1-528,Athens,Hellenic Zoological Society [in Greek],"","","","",Published,The Red Data Book of Threatened Animals of Greece,edited book,"","",2009
Assessment,,"",67694324,"Sotiropoulos, K. and Lymberakis, P.","","",,41241,Lyciasalamandra luschani,"","","","",80-86,"Exeter, UK",Pelagic Publishing,H. Heathvole and J. Wilkinson,Amphibian Biology Vol 11. Part 4. Status of Conservation and Decline of Amphibians: Eastern Hemisphere: Southern Europe and Turkey,"","",Published,Declines and conservation of amphibians in Greece,book section,"","",2015
Assessment,,"",67694324,"Sotiropoulos, K.","","",,41241,Lyciasalamandra luschani,"","","","",161-178,Athens,"Ministry for the Environment, Energy and Climate Change/Hellenic Zoological Society",A. Legakis and P. Maragou,The Red Data Book of Threatened Animals of Greece,"","",Published,Amphibians,book section,"","",2010
Assessment,,"",67694324,"Frost, D.R. ","","",,41241,Lyciasalamandra luschani,"","","","","","New York, USA",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.1,electronic source,https://amphibiansoftheworld.amnh.org,"",2021
Assessment,,,67694324,"Akman, B., Göçmen, B., Veith, M., Oğuz, M.A. and Yalçınkaya, D.",,,,41241,Lyciasalamandra luschani,,,,,29-39,,,,Herpetologica Romanica,,,Published,"New localities of <i>Lyciasalamandra luschani luschani</i> (Steindachner, 1891)(Amphibia: Urodela: Salamandridae)",journal article,,7,2013
Assessment,,"",67694324,"Speybroeck, J., Beukema, W., Bok, B., Van Der Voort, J. and Velikov, I","","",,41241,Lyciasalamandra luschani,"","","","","",London-New York,Bloomsbury,"","","","",Published,Field Guide to the Amphibians & Reptiles of Britain and Europe,book,"","",2016
Assessment,,"",67694324,"Polymeni, R.M.","","",,41241,Lyciasalamandra luschani,"","","","","","Athens, Greece",University of Athens,"",Department of Biology,"","",Published,Contribution to the study of the amphibian <i>Mertensiella luschani</i> (Steindachner 1891),thesis,"","",1988
Assessment,,"",67694324,"Polymeni, R.M.","","",,41241,Lyciasalamandra luschani,"","","","",301-314,"","","",Mertensiella,"","",Published,On the biology of <i>Mertensiella luschani</i> (Steindachner 1891): A review,journal article,"",4,1994
Assessment,,"",67694324,"Polymeni, R., Radea, C. and Papanayotou, C","","",,41241,Lyciasalamandra luschani,"","","","",155-160,"","","",Asian Herpetological Research,"","",Published,Diet composition of the salamander <i>Lyciasalamandra luschani. basoglui</i> on the Greek island of Kastellorizo in the southeastern Aegean Sea,journal article,"",2,2011
Assessment,,"",67694324,"Baran, İ., Avcı, A., Kumlutaş, Y., Olgun, K. and Ilgaz, Ç","","",,41241,Lyciasalamandra luschani,"","","","",223,Ankara,Palme Yayınları,"","","","",Published,Türkiye Amfibi ve Sürüngenleri [The Amphibian and Reptiles of Turkey],book,"",2028,2021
Assessment,,,67694324,"Myronidis, D. and Nikolaos, T. ",,,,41241,Lyciasalamandra luschani,,,,,1725–1739,,,,Stoch Environ Res Risk Assess ,,,Published,"Changes in climatic patterns and tourism and their concomitant effect on drinking water transfers into the region of South Aegean, Greece",journal article,,35,2021
Assessment,,"",67694324,IUCN,28 October 2024,"",,41241,Lyciasalamandra luschani,"","",28 October 2024,"","","","","","","","","",The IUCN Red List of Threatened Species. Version 2024-2,electronic source,www.iucnredlist.org,"",2024
Assessment,,"",67862807,"Baran, I. and Atatür, M.K.","","",,2865,Bombina bombina,"","","","","",Ankara,Republic of Turkey Ministry of Environment,"","","","",Published,Turkish Herpetofauna (Amphibians and Reptiles),book,"","",1998
Assessment,,"",67862807,"Vogrin, N.","","",,2865,Bombina bombina,"","","","",1-2,"","","",FrogLog,"","",Published,The status of amphibians in Slovenia,journal article,"",20,1997
Assessment,,"",67862807,"Kalezic, M. and Dzukic, G.","","",,2865,Bombina bombina,"","","","",2-3,"","","",FrogLog,"","",Published,Amphibian status in Serbia and Montenegro (FR Yugoslavia),journal article,"",45,2001
Assessment,,"",67862807,"Arnold, E.N","","",,2865,Bombina bombina,"","","","",288,"",Princeton University Press,"","","","",Published,Reptiles and Amphibians of Europe,book,"","",2003
Assessment,,,67862807,"Kuzmin, S.L.",,,,2865,Bombina bombina,,"amphibians, systematics, distribution, ecology, conservation, USSR",,,,Sofia-Moscow,Pensoft,,,,,,The Amphibians of the Former Soviet Union,Book,,,1999
Assessment,,"",67862807,"Pestov, M. and Anufriev, V.","","",,2865,Bombina bombina,"","","","",1-2,"","","",FrogLog,"","",Published,The Frog Princess and other projects,journal article,"",46,2001
Assessment,,"",67862807,"Kuzmin, S.L.","","",,2865,Bombina bombina,"","amphibians,  conservation, USSR","","",24-30,"","","",Oryx,"","",Published,Threatened amphibians in the former Soviet Union: the current situation and the main threats,journal article,"",30,1996
Assessment,,"",67862807,"Garanin, V.I.","","",,2865,Bombina bombina,"","amphibians, systematics, distribution, ecology, conservation, Russia","","",79-132,"","","",Advances in Amphibian Research in the Former Soviet Union,"","",Published,The distribution of amphibians in the Volga-Kama region,journal article,"",5,2000
Assessment,,,67862807,"Bannikov, A.G., Darevsky, I.S., Ishchenko, V.G., Rustamov, A.K. and Szczerbak, N.N.",,,,2865,Bombina bombina,,"amphibians,  ecology, systematics, distribution, reviews, USSR",,,,Moscow,Prosvechshenie,,,,,,Opredelitel Zemnovodnykh i Presmykayushchikhsya Fauny SSSR [Guide to Amphibians and Reptiles of the USSR Fauna],Book,,,1977
Assessment,,"",67862807,"Kuzmin, S.L., Dodd Jr , C.K. and Pikulik, M.M.","","",,2865,Bombina bombina,"","amphibians,  conservation, CIS","","","",Moscow,Pensoft,"","","","",Published,Amphibian Populations in the Commonwealth of Independent States: Current Status and Declines,edited book,"","",1995
