Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
2865,,AMPHIBIA,BOMBINATORIDAE,Bombina,,,,2865,Bombina bombina,ANIMALIA,ANURA,CHORDATA,bombina,"(Linnaeus, 1761)"
22212,"<em>Triturus cristatus</em> formerly was considered to include four subspecies: <em>T. cristatus cristatus</em>; <em>T. c. dobrogicus</em>; <em>T. c. karelinii</em>; and <em>T. c. carnifex</em>. These are now recognized as separate species of the <em>Triturus cristatus</em> superspecies, and the specific name <em>Triturus cristatus</em> (sensu stricto) is attributed to the former nominative subspecies. The exact ranges of members of the <em>Triturus cristatus</em> superspecies are unclear in the central Balkans because of narrow or extensive areas of hybridization.",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,22212,Triturus cristatus,ANIMALIA,CAUDATA,CHORDATA,cristatus,"(Laurenti, 1768)"
41241,"Formerly included in the genus <em>Salamandra</em>, this taxon was assigned to the genus <em>Lyciasalamandra</em> by Veith and Steinfartz (2004).",AMPHIBIA,SALAMANDRIDAE,Lyciasalamandra,,,,41241,Lyciasalamandra luschani,ANIMALIA,CAUDATA,CHORDATA,luschani,"(Steindachner, 1891)"
54703,"Padial and De la Riva (2004) tentatively consider all&#160;<span style=""font-style: italic;"">Bufo regularis</span> and <span style=""font-style: italic;"">Bufo mauritanicus</span> records from the Adrar as <span style=""font-style: italic;"">Bufo xeros</span>&#160;[all now under <em>Sclerophrys</em>].",AMPHIBIA,BUFONIDAE,Sclerophrys,,,,54703,Sclerophrys mauritanica,ANIMALIA,ANURA,CHORDATA,mauritanica,"(Schlegel, 1841)"
55270,"Most Moroccan populations previously considered to belong to this species are now separated as <em>Discoglossus scovazzi</em> (García-París and Jockusch 1999, Fromhage <em>et al.</em> 2004, Vences<em> et al.</em> 2014). North African populations have historically been regarded as a separate subspecies, <em>Discoglossus pictus auritus</em>, from those on European islands. There is, however, little genetic divergence between European and North African groups, and Zangari <em>et al</em>. (2006) considers the species monotypic.",AMPHIBIA,ALYTIDAE,Discoglossus,,,,55270,Discoglossus pictus,ANIMALIA,ANURA,CHORDATA,pictus,"Otth, 1837"
58054,,AMPHIBIA,PELOBATIDAE,Pelobates,,,,58054,Pelobates varaldii,ANIMALIA,ANURA,CHORDATA,varaldii,"Pasteur &amp; Bons, 1959"
58548,"The intraspecific systematics of this species needs further study. Animals from the Altai Mountains have for a long time been considered as a separate subspecies of <em>Rana arvalis</em> or as the species <em>Rana altaica</em>. This has largely been on the basis of their shorter shins and large inner metatarsal tubercle. Similar frogs have since been found in other parts of the range of <em>Rana arvalis</em> (e.g., in the north of European Russia and in the Urals) and in Siberia some animals display transient characters between <em>Rana arvalis</em> and the Altaic taxon. Until this taxonomic issue is fully resolved we include <em>Rana altaica</em> within <em>Rana arvalis</em>.",AMPHIBIA,RANIDAE,Rana,,,,58548,Rana arvalis,ANIMALIA,ANURA,CHORDATA,arvalis,"Nilsson, 1842"
58565,,AMPHIBIA,RANIDAE,Aquarana,,,,58565,Aquarana catesbeianus,ANIMALIA,ANURA,CHORDATA,catesbeianus,"(Shaw, 1802)"
58584,,AMPHIBIA,RANIDAE,Rana,,,,58584,Rana dalmatina,ANIMALIA,ANURA,CHORDATA,dalmatina,"Fitzinger, 1838"
58705,"Investigations of mitochondrial DNA suggest that subpopulations from the southern Caucasus and Central Asia might represent separate species. The taxonomy of Anatolian water frogs (including this species) is still unclear; some authors suggest that the presence of this species in Türkiye cannot be established on the basis of morphometric data.<br/><br/>There are studies that claim that this species represents a species complex and therefore are questioning the identity of marsh frogs e.g. from western Caucasus area (Ermakov <em>et al</em>. 2016). Some studies suggest that parts of its range, at least in the Balkan Peninsula, actually belong to <em>Pelophylax kurtmuelleri</em> (Kolenda <em>et al</em>. 2017).",AMPHIBIA,RANIDAE,Pelophylax,,,,58705,Pelophylax ridibundus,ANIMALIA,ANURA,CHORDATA,ridibundus,"(Pallas, 1771)"
58707,"Prior to Uzzell (1982) (who provisionally resurrected the name), this species was considered to be a synonym of <em>Pelophylax perezi</em>, or, following Pasteur and Bons (1959), a synonym of <em>P. ridibundus</em>. Although northwest African members of the ""<em>P. esculentus</em>"" complex are here tentatively regarded as <em>P. saharicus</em>, Hemmer, Konrad and Bachmann (1980), suggested that two species were hybridizing in North Africa. Steinwarz and Schneider (1991), considered it probable that <em>P. saharicus</em> is a junior synonym of <em>P. perezi</em>.<br/><br/>Cryptic diversity possibly exists in the Libyan subpopulation (Ibrahim 2013). Nicolas et al. (2014) found their sampled populations from Morocco and Algeria to be genetically distinct, suggesting divergence along the Moulouya River valley dating back approximately 2.6 Mya. Some mitochondrial differentiation has been found between northern and southern populations in Morocco (Lansari <em>et al. </em>2015). Arano<em> et al</em>. (1998) previously found an east-west pattern of allozyme divergence between the subspecies <em>P. s. saharicus</em> and<em> P. s. rioderoi</em>.",AMPHIBIA,RANIDAE,Pelophylax,,,,58707,Pelophylax saharicus,ANIMALIA,ANURA,CHORDATA,saharicus,"(Boulenger in Hartert, 1913)"
59463,,AMPHIBIA,SALAMANDRIDAE,Pleurodeles,,,,59463,Pleurodeles waltl,ANIMALIA,CAUDATA,CHORDATA,waltl,"Michahelles, 1830"
59464,"Morphological, ecological and genetic studies on <em>Salamandra algira</em> indicate that there are two major clades further subdivided in several lineages (Beukema <em>et al</em>. 2010, Ben Hassine <em>et al</em>. 2016, Bouzid <em>et al</em>. 2017, Merabet <em>et al</em>. 2016a, Beddek <em>et al</em>. 2018, Dinis <em>et al</em>. 2019, Hernandez and Escoriza 2019), which are recognized as five distinct subspecies:<em> S. a. tingitana</em> (Donaire-Barroso and Bogaerts 2003), <em>S. a. splendens</em> (Beukema <em>et al</em>. 2013), S<em>. a. spelaea</em> (Escoriza and Comas 2007), <em>S. a. algira</em> (Bedriaga 1883), and <em>S. a. atlantica</em> (Hernandez and Escoriza 2019).",AMPHIBIA,SALAMANDRIDAE,Salamandra,,,,59464,Salamandra algira,ANIMALIA,CAUDATA,CHORDATA,algira,"Bedriaga, 1883"
58893474,"This species was previously reported to occur in Cyprus, however, following genetic analysis, these records are now assigned to&#160;<em>Pelophylax cypriensis</em>, previously confused under this name<em>&#160;</em>(Plötner&#160;<em>et al.</em>&#160;2012).",AMPHIBIA,RANIDAE,Pelophylax,,,,58893474,Pelophylax bedriagae,ANIMALIA,ANURA,CHORDATA,bedriagae,"(Camerano, 1882)"
78928690,This is a restricted concept of this species following the split of the broader concept into this and <em>Hyla felixarabica </em>(Gvoždík <em>et al.</em> 2010).,AMPHIBIA,HYLIDAE,Hyla,,,,78928690,Hyla savignyi,ANIMALIA,ANURA,CHORDATA,savignyi,"Audouin, 1827"
82494309,"This was previously considered a subspecies of&#160;<em>Hyla arborea</em>,&#160;until it was elevated to species status by Stöck&#160;<em>et al.</em>&#160;(2008).",AMPHIBIA,HYLIDAE,Hyla,,,,82494309,Hyla orientalis,ANIMALIA,ANURA,CHORDATA,orientalis,"Bedriaga, 1890"
88103927,This species is a re-description of the previously elevated subspecies of&#160;<em>Triturus karelinii </em>which was known as<em> T. arntzeni&#160;</em>(Wielstra <em>et al.</em> 2013). <em>T. anatolicus</em> was previously confused with species (Wielstra and Arntzen 2016).,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,88103927,Triturus ivanbureschi,ANIMALIA,CAUDATA,CHORDATA,ivanbureschi,"Arntzen &amp; Wielstra, 2013"
88316046,This species was elevated from its previous status as a subspecies of<em> Bufo bufo</em> by Recuero <em>et al.</em> (2012).,AMPHIBIA,BUFONIDAE,Bufo,,,,88316046,Bufo spinosus,ANIMALIA,ANURA,CHORDATA,spinosus,"Daudin, 1803"
88316072,"This is a restricted concept of this species following the splits of the broader concept into this and <em>Bufo spinosus</em> (García-Porta <em>et al</em>. 2012, Recuero <em>et al</em>. 2012).<br/><br/>Following genetic analysis, parts of the former range of this species (e.g. Jersey, western and southern France, Andorra, and the Iberian Peninsula) have been assigned to <em>Bufo spinosus</em> which has been elevated from subspecies level (García-Porta<em> et al</em>. 2012, Recuero <em>et al</em>. 2012).",AMPHIBIA,BUFONIDAE,Bufo,,,,88316072,Bufo bufo,ANIMALIA,ANURA,CHORDATA,bufo,"(Linnaeus, 1758)"
110466172,"This is a restricted concept of this species following the split of the broader concept into this and <em>Xenopus poweri</em> (Furman <em>et al.</em> 2015). A previous subspecies of this species <em>Xenopus laevis sudanensis</em> was elevated to a distinct species, and then subsequently synonymised with <em>X. poweri</em> (Furman&#160;<em>et al.</em> 2015).",AMPHIBIA,PIPIDAE,Xenopus,,,,110466172,Xenopus laevis,ANIMALIA,ANURA,CHORDATA,laevis,"(Daudin, 1802)"
136687833,"This is a restricted concept of this species following the split of the broader concept into this and <em>S. tridactyla</em> (Malyarchuk <em>et al</em>. 2010). Following genetic analysis, some subpopulations in Primorsky Krai in Russia, in eastern China and at the extreme northeast of the Democratic People's Republic of Korea have now been assigned to <em>Salamandrella tridactyla</em> (Malyarchuk <em>et al</em>. 2010).",AMPHIBIA,HYNOBIIDAE,Salamandrella,,,,136687833,Salamandrella keyserlingii,ANIMALIA,CAUDATA,CHORDATA,keyserlingii,"Dybowski, 1870"
172313717,This is a restricted concept of this species following the split of the broader concept into this species (which as now defined contains the subspecies <em>Pelobates syriacus syriacus </em>and <em>P. s. boettgeri</em>) and <em>Pelobates balcanicus</em> (Dufresnes <em>et al</em>. 2019).,AMPHIBIA,PELOBATIDAE,Pelobates,,,,172313717,Pelobates syriacus,ANIMALIA,ANURA,CHORDATA,syriacus,"Boettger, 1889"
