Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
2865,"",AMPHIBIA,BOMBINATORIDAE,Bombina,,,,2865,Bombina bombina,ANIMALIA,ANURA,CHORDATA,bombina,"(Linnaeus, 1761)"
22212,"Triturus cristatus formerly was considered to include four subspecies: T. cristatus cristatus; T. c. dobrogicus; T. c. karelinii; and T. c. carnifex. These are now recognized as separate species of the Triturus cristatus superspecies, and the specific name Triturus cristatus (sensu stricto) is attributed to the former nominative subspecies. The exact ranges of members of the Triturus cristatus superspecies are unclear in the central Balkans because of narrow or extensive areas of hybridization.",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,22212,Triturus cristatus,ANIMALIA,CAUDATA,CHORDATA,cristatus,"(Laurenti, 1768)"
41241,"Formerly included in the genus Salamandra, this taxon was assigned to the genus Lyciasalamandra by Veith and Steinfartz (2004).",AMPHIBIA,SALAMANDRIDAE,Lyciasalamandra,,,,41241,Lyciasalamandra luschani,ANIMALIA,CAUDATA,CHORDATA,luschani,"(Steindachner, 1891)"
54703,Padial and De la Riva (2004) tentatively consider all&nbsp;Bufo regularis and Bufo mauritanicus records from the Adrar as Bufo xeros&nbsp;[all now under Sclerophrys].,AMPHIBIA,BUFONIDAE,Sclerophrys,,,,54703,Sclerophrys mauritanica,ANIMALIA,ANURA,CHORDATA,mauritanica,"(Schlegel, 1841)"
55270,"Most Moroccan populations previously considered to belong to this species are now separated as Discoglossus scovazzi (García-París and Jockusch 1999, Fromhage et al. 2004, Vences et al. 2014). North African populations have historically been regarded as a separate subspecies, Discoglossus pictus auritus, from those on European islands. There is, however, little genetic divergence between European and North African groups, and Zangari et al. (2006) considers the species monotypic.",AMPHIBIA,ALYTIDAE,Discoglossus,,,,55270,Discoglossus pictus,ANIMALIA,ANURA,CHORDATA,pictus,"Otth, 1837"
58054,"",AMPHIBIA,PELOBATIDAE,Pelobates,,,,58054,Pelobates varaldii,ANIMALIA,ANURA,CHORDATA,varaldii,"Pasteur &amp; Bons, 1959"
58548,"The intraspecific systematics of this species needs further study. Animals from the Altai Mountains have for a long time been considered as a separate subspecies of Rana arvalis or as the species Rana altaica. This has largely been on the basis of their shorter shins and large inner metatarsal tubercle. Similar frogs have since been found in other parts of the range of Rana arvalis (e.g., in the north of European Russia and in the Urals) and in Siberia some animals display transient characters between Rana arvalis and the Altaic taxon. Until this taxonomic issue is fully resolved we include Rana altaica within Rana arvalis.",AMPHIBIA,RANIDAE,Rana,,,,58548,Rana arvalis,ANIMALIA,ANURA,CHORDATA,arvalis,"Nilsson, 1842"
58565,"",AMPHIBIA,RANIDAE,Aquarana,,,,58565,Aquarana catesbeianus,ANIMALIA,ANURA,CHORDATA,catesbeianus,"(Shaw, 1802)"
58584,"",AMPHIBIA,RANIDAE,Rana,,,,58584,Rana dalmatina,ANIMALIA,ANURA,CHORDATA,dalmatina,"Fitzinger, 1838"
58705,"Investigations of mitochondrial DNA suggest that subpopulations from the southern Caucasus and Central Asia might represent separate species. The taxonomy of Anatolian water frogs (including this species) is still unclear; some authors suggest that the presence of this species in Türkiye cannot be established on the basis of morphometric data.  There are studies that claim that this species represents a species complex and therefore are questioning the identity of marsh frogs e.g. from western Caucasus area (Ermakov et al. 2016). Some studies suggest that parts of its range, at least in the Balkan Peninsula, actually belong to Pelophylax kurtmuelleri (Kolenda et al. 2017).",AMPHIBIA,RANIDAE,Pelophylax,,,,58705,Pelophylax ridibundus,ANIMALIA,ANURA,CHORDATA,ridibundus,"(Pallas, 1771)"
