Threats.ThreatsSubfield.StressesSubfield.stress,Threats.ThreatsSubfield.StressesSubfield.stressdesc,Threats.ThreatsSubfield.ThreatsLookup,Threats.ThreatsSubfield.ThreatsName,Threats.ThreatsSubfield.ancestry,Threats.ThreatsSubfield.ias,Threats.ThreatsSubfield.internationalTrade,Threats.ThreatsSubfield.scope,Threats.ThreatsSubfield.severity,Threats.ThreatsSubfield.text,Threats.ThreatsSubfield.timing,Threats.ThreatsSubfield.virus,assessment_id,internal_taxon_id,internal_taxon_name
,,11.2,,,,,,,,Ongoing,,67694324,41241,Lyciasalamandra luschani
,,1.1,,,,,,,,Ongoing,,67694324,41241,Lyciasalamandra luschani
,,5.1.1,,,,,,,,Ongoing,,67694324,41241,Lyciasalamandra luschani
1.2,,9.1.3,,,,,,,,Ongoing,,67862807,2865,Bombina bombina
1.2,,9.3.4,,,,,,,,Ongoing,,67862807,2865,Bombina bombina
1.2|1.1,,1.1,,,,,,,,Ongoing,,67862807,2865,Bombina bombina
1.2|1.1,,2.3.3,,,,,,,,Ongoing,,67862807,2865,Bombina bombina
1.2,,9.2.3,,,,,,,,Ongoing,,67862807,2865,Bombina bombina
1.1|1.2,,1.2,,,,,,,,Ongoing,,67862807,2865,Bombina bombina
1.2|1.1,,2.1.3,,,,,,,,Ongoing,,67862807,2865,Bombina bombina
1.2,,5.3.5,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.2,,9.2.3,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.2,,9.3.4,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.2,,9.1.3,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
2.1,,5.1.1,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
2.1,,8.1.1,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.1|1.2,,2.3.2,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.1|1.2,,2.3.3,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.1|1.2,,1.1,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.1|1.2,,1.2,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.1|1.2,,2.1.3,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
1.1|1.2,,2.1.2,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
,,7.2.9,,,,,,,,Ongoing,,200183152,22212,Triturus cristatus
2.3.2,,8.1.2,,,Xenopus laevis,,Unknown,Unknown,,Ongoing,,200187939,55270,Discoglossus pictus
1.2,,9.3.4,,,,,,,,Future,,200187939,55270,Discoglossus pictus
1.1|1.2,,11.1,,,,,,,,Ongoing,,200187939,55270,Discoglossus pictus
1.1|1.2,,1.1,,,,,,,,Future,,200187939,55270,Discoglossus pictus
1.1|1.2,,2.1.3,,,,,,,,Ongoing,,200187939,55270,Discoglossus pictus
2.3.2|2.1,,8.1.1,,,,,Minority (<50%),Unknown,Gambusia sp.,Ongoing,,200187939,55270,Discoglossus pictus
1.2|2.2,,7.2.1,,,,,,,,Ongoing,,200187939,55270,Discoglossus pictus
1.2|2.2,,7.2.3,,,,,,,,Ongoing,,200187939,55270,Discoglossus pictus
2.3.2,,8.1.2,,,Pelophylax bedriagae,,Unknown,Unknown,,Ongoing,,200187939,55270,Discoglossus pictus
2.3.2,,8.2.2,,,Pelophylax perezi,,Minority (<50%),Unknown,,Ongoing,,200188858,88316072,Bufo bufo
