UTEndUse.UTEndUseSubfield.UTEndUseLookup,UTEndUse.UTEndUseSubfield.UTEndUseName,UTEndUse.UTEndUseSubfield.international,UTEndUse.UTEndUseSubfield.national,UTEndUse.UTEndUseSubfield.other,UTEndUse.UTEndUseSubfield.subsistence,assessment_id,internal_taxon_id,internal_taxon_name
14,,false,true,,false,67694324,41241,Lyciasalamandra luschani
13,,true,true,,false,67862807,2865,Bombina bombina
13,,true,true,,false,200183152,22212,Triturus cristatus
13,,true,true,,false,200188858,88316072,Bufo bufo
13,,true,false,,false,200191612,182525327,Bufotes boulengeri
13,,true,true,,false,200192160,182530066,Bufotes viridis
1,,true,true,,true,200682549,58893474,Pelophylax bedriagae
14,,false,true,,false,200716374,58705,Pelophylax ridibundus
1,,true,true,,true,200716374,58705,Pelophylax ridibundus
3,,true,true,,true,200716374,58705,Pelophylax ridibundus
3,,false,true,,true,200717774,58548,Rana arvalis
1,,false,true,,true,200718410,58584,Rana dalmatina
14,,false,true,,false,200721782,173101508,Rana temporaria
1,,false,true,,true,200721782,173101508,Rana temporaria
3,,false,true,,true,200721782,173101508,Rana temporaria
13,,true,true,,true,200721782,173101508,Rana temporaria
13,,true,false,,false,200741882,59464,Salamandra algira
15,,true,false,,false,200741882,59464,Salamandra algira
13,,true,true,,false,200746759,211146190,Triturus karelinii
13,,true,true,,false,202020399,196236041,Pelobates vespertinus
1,,false,false,,true,202022250,110466172,Xenopus laevis
14,,true,false,,false,202022250,110466172,Xenopus laevis
16,,false,false,,false,202022987,58565,Aquarana catesbeianus
1,,true,true,,true,202022987,58565,Aquarana catesbeianus
