taxon,species_name,red_list_category,threats,threats_code,population_trend,habitats,risk_score,temp_sensitivity,habitat_loss_sens,co2_sens
AMPHIBIA,Mantella aurantiaca,EN,"['Biological resource use', 'Energy production & mining', 'Agriculture & aquaculture', 'Natural system modifications', 'Biological resource use', 'Agriculture & aquaculture', 'Residential & commercial development', 'Pollution', 'Invasive and other problematic species, genes & diseases']","['5_1_1', '3_2', '2_1_1', '7_1_3', '5_3_3', '2_1_2', '1_1', '9_2_2', '8_1_2']",Decreasing,"['Forest - Subtropical/Tropical Swamp', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Forest - Subtropical/Tropical Moist Lowland', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)']",3.0,0.5,1,1
AMPHIBIA,Anhydrophryne rattrayi,VU,"['Agriculture & aquaculture', 'Invasive and other problematic species, genes & diseases', 'Natural system modifications', 'Biological resource use']","['2_2_2', '8_1_1', '7_1_1', '5_3_3']",Unknown,"['Forest - Temperate', 'Grassland - Temperate']",2.0,0.5,0.5,0.2
AMPHIBIA,Bokermannohyla itapoty,LC,[],[],Stable,"['Grassland - Subtropical/Tropical High Altitude', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Rocky areas (eg. inland cliffs, mountain peaks)']",0.0,[],[],[]
AMPHIBIA,Pseudis platensis,LC,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Natural system modifications', 'Residential & commercial development', 'Transportation & service corridors']","['2_1_3', '2_3_2', '2_3_3', '7_1_1', '1_1', '4_1']",Stable,"['Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Shrubland - Subtropical/Tropical Dry', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)', 'Forest - Subtropical/Tropical Dry', 'Savanna - Dry', 'Artificial/Terrestrial - Urban Areas', 'Savanna - Moist', 'Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)']",0.0,0.5,1,0.6
AMPHIBIA,Tsingymantis antitra,EN,"['Agriculture & aquaculture', 'Biological resource use', 'Energy production & mining']","['2_3_2', '5_3_1', '3_2']",Unknown,"['Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Forest - Subtropical/Tropical Dry', 'Caves and Subterranean Habitats (non-aquatic) - Caves']",3.0,0,0.5,1
AMPHIBIA,Bolitoglossa bramei,LC,"['Invasive and other problematic species, genes & diseases']",['8_1_2'],Stable,['Forest - Subtropical/Tropical Moist Montane'],0.0,0,0,0
AMPHIBIA,Rhinella manu,LC,"['Human intrusions & disturbance', 'Invasive and other problematic species, genes & diseases', 'Biological resource use', 'Agriculture & aquaculture', 'Invasive and other problematic species, genes & diseases']","['6_1', '8_1_2', '5_3_1', '2_1_2', '8_5_1']",Stable,['Forest - Subtropical/Tropical Moist Montane'],0.0,0,0.5,0.2
AMPHIBIA,Telmatobius sanborni,CR,"['Invasive and other problematic species, genes & diseases']",['8_1_2'],Decreasing,"['Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Forest - Subtropical/Tropical Moist Montane']",4.0,0,0,0
AMPHIBIA,Chimerella mariaelenae,LC,[],[],Unknown,"['Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Forest - Subtropical/Tropical Moist Montane', 'Artificial/Terrestrial - Pastureland', 'Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks']",0.0,[],[],[]
AMPHIBIA,Rhacophorus kio,LC,"['Agriculture & aquaculture', 'Pollution', 'Biological resource use', 'Agriculture & aquaculture', 'Residential & commercial development', 'Transportation & service corridors', 'Biological resource use']","['2_1_3', '9_3_4', '5_3_5', '2_1_2', '1_1', '4_1', '5_1_1']",Decreasing,"['Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Moist Montane']",0.0,0.3,1,0.8
AMPHIBIA,Pristimantis aquilonaris,LC,[],[],Stable,['Forest - Subtropical/Tropical Moist Montane'],0.0,[],[],[]
AMPHIBIA,Hyperolius poweri,LC,"['Agriculture & aquaculture', 'Residential & commercial development', 'Residential & commercial development', 'Natural system modifications']","['2_1_3', '1_2', '1_1', '7_2_4']",Unknown,"['Grassland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Seasonally Wet/Flooded', 'Savanna - Moist', 'Savanna - Dry', 'Artificial/Aquatic - Ponds (below 8ha)', 'Artificial/Aquatic - Water Storage Areas (over 8ha)', 'Grassland - Temperate', 'Artificial/Terrestrial - Urban Areas', 'Artificial/Terrestrial - Rural Gardens', 'Shrubland - Subtropical/Tropical Moist', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Shrubland - Temperate', 'Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)']",0.0,0.5,1,0.3
AMPHIBIA,Ctenophryne barbatula,EN,"['Agriculture & aquaculture', 'Biological resource use', 'Agriculture & aquaculture']","['2_1_2', '5_3_5', '2_3_2']",Unknown,['Forest - Subtropical/Tropical Moist Montane'],3.0,0,0.5,0.2
AMPHIBIA,Mantidactylus noralottae,DD,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Biological resource use', 'Agriculture & aquaculture', 'Energy production & mining', 'Invasive and other problematic species, genes & diseases']","['2_1_1', '2_3_2', '5_3_1', '2_1_2', '3_2', '8_1_2']",Unknown,"['Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Rocky areas (eg. inland cliffs, mountain peaks)']",,0,0.5,1
AMPHIBIA,Anodonthyla moramora,EN,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Residential & commercial development', 'Energy production & mining', 'Biological resource use', 'Natural system modifications', 'Agriculture & aquaculture', 'Invasive and other problematic species, genes & diseases']","['2_1_2', '2_3_2', '1_1', '3_2', '5_3_3', '7_1_3', '2_1_1', '8_1_1']",Decreasing,['Forest - Subtropical/Tropical Moist Lowland'],3.0,0.5,1,1
AMPHIBIA,Zhangixalus yinggelingensis,VU,"['Residential & commercial development', 'Biological resource use']","['11_2', '5_1_2']",Stable,"['Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks', 'Forest - Subtropical/Tropical Moist Montane']",2.0,0,1,0.3
AMPHIBIA,Bolitoglossa gomezi,EN,"['Invasive and other problematic species, genes & diseases', 'Biological resource use', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture']","['8_1_2', '5_3_3', '2_3_2', '2_3_3', '2_1_2']",Decreasing,['Forest - Subtropical/Tropical Moist Montane'],3.0,0,0.5,0.2
AMPHIBIA,Telmatobius punctatus,EN,"['Pollution', 'Pollution', 'Pollution', 'Invasive and other problematic species, genes & diseases']","['9_2_2', '9_3_4', '9_2_3', '8_1_2']",Decreasing,"['Grassland - Subtropical/Tropical High Altitude', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Forest - Subtropical/Tropical Moist Montane']",3.0,0.3,0,0.8
AMPHIBIA,Oreobates lehri,EN,['Agriculture & aquaculture'],['2_2_1'],Unknown,['Forest - Subtropical/Tropical Moist Montane'],3.0,0,0,0.2
AMPHIBIA,Anodonthyla hutchisoni,EN,"['Biological resource use', 'Agriculture & aquaculture']","['5_3_1', '2_1_2']",Decreasing,['Forest - Subtropical/Tropical Moist Lowland'],3.0,0,0.5,0.2
AMPHIBIA,Bufotes viridis,LC,"['Agriculture & aquaculture', 'Transportation & service corridors', 'Agriculture & aquaculture', 'Pollution', 'Pollution', 'Invasive and other problematic species, genes & diseases', 'Residential & commercial development', 'Agriculture & aquaculture', 'Biological resource use']","['2_1_3', '4_1', '2_3_3', '9_3_4', '9_2_3', '8_1_1', '1_1', '2_4_3', '5_1_1']",Decreasing,"['Artificial/Aquatic - Excavations (open)', 'Artificial/Aquatic - Irrigated Land (includes irrigation channels)', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Pastureland', 'Artificial/Aquatic - Ponds (below 8ha)', 'Grassland - Temperate', 'Artificial/Terrestrial - Urban Areas', 'Artificial/Terrestrial - Rural Gardens', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Shrubland - Temperate', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Freshwater Springs and Oases', 'Forest - Temperate', 'Artificial/Aquatic - Canals and Drainage Channels, Ditches', 'Artificial/Terrestrial - Arable Land']",0.0,0.3,1,0.8
AMPHIBIA,Pristimantis leucorrhinus,DD,['Agriculture & aquaculture'],['2_1_2'],Unknown,['Forest - Subtropical/Tropical Moist Montane'],,0,0,0.2
AMPHIBIA,Hyloscirtus tigrinus,EN,"['Transportation & service corridors', 'Pollution', 'Agriculture & aquaculture', 'Pollution', 'Invasive and other problematic species, genes & diseases', 'Biological resource use', 'Agriculture & aquaculture']","['4_2', '9_4', '2_1_2', '9_3_3', '8_1_2', '5_3_1', '2_3_2']",Decreasing,"['Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Forest - Subtropical/Tropical Moist Montane', 'Grassland - Subtropical/Tropical High Altitude']",3.0,0.3,0.5,0.8
AMPHIBIA,Tomopterna monticola,DD,[],[],Unknown,['Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks'],,[],[],[]
AMPHIBIA,Boophis baetkei,CR,"['Energy production & mining', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Biological resource use']","['3_2', '2_3_2', '2_1_2', '5_3_3']",Decreasing,"['Forest - Subtropical/Tropical Moist Lowland', 'Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)']",4.0,0,0.5,1
